Batch,Accuracy,Loss,Confident_Ratio,Buffer_Size,Time_Seconds
0,94.46,0.02162659416596095,0.875,56,0.8669869899749756
1,94.32,0.02381659795840581,0.890625,113,0.8969690799713135
2,94.04,0.03099319028357665,0.859375,168,0.8659250736236572
3,93.85,0.027312135323882103,0.9375,228,0.8745338916778564
4,93.77,0.01917657721787691,0.875,284,0.8721559047698975
5,93.99,0.037691094602147736,0.890625,341,0.8801901340484619
6,93.99,0.01720988874634107,0.859375,396,0.8787949085235596
7,94.23,0.025621441503365833,0.84375,450,0.8713710308074951
8,94.44,0.032678514098127685,0.890625,500,0.8772780895233154
9,94.6,0.02164180763065815,0.890625,500,0.8850340843200684
10,94.74,0.03159092366695404,0.90625,500,0.8731598854064941
11,94.85,0.03837639093399048,0.875,500,0.8728721141815186
12,94.9,0.016278615531822044,0.890625,500,0.8739519119262695
13,94.92,0.017160671142240364,0.875,500,0.8847122192382812
14,94.92,0.024539954029023647,0.890625,500,0.875629186630249
15,94.83,0.01556283545990785,0.859375,500,0.8873579502105713
16,94.95,0.035271646144489445,0.921875,500,0.8840792179107666
17,94.95,0.02776888944208622,0.953125,500,0.8814289569854736
18,94.92,0.020228275408347447,0.90625,500,0.8868441581726074
19,94.85,0.012099950574338436,0.9375,500,0.8886518478393555
