batch,class_0_accuracy,class_1_accuracy,class_2_accuracy,class_3_accuracy,class_4_accuracy,class_5_accuracy,class_6_accuracy,class_7_accuracy,class_8_accuracy,class_9_accuracy
-1,0.9918367346938776,0.9779735682819384,0.9273255813953488,0.8851485148514852,0.9592668024439919,0.9338565022421524,0.9227557411273486,0.9173151750972762,0.9045174537987679,0.9306243805748265
0,0.9908163265306122,0.9744493392070485,0.9137596899224806,0.8603960396039604,0.9745417515274949,0.8307174887892377,0.906054279749478,0.8852140077821011,0.944558521560575,0.9226957383548068
1,0.9928571428571429,0.9859030837004406,0.9137596899224806,0.8594059405940594,0.984725050916497,0.820627802690583,0.894572025052192,0.8667315175097277,0.9240246406570842,0.8741328047571854
2,0.9938775510204082,0.9885462555066079,0.9166666666666666,0.898019801980198,0.9837067209775967,0.8228699551569507,0.8914405010438413,0.8618677042801557,0.9055441478439425,0.8513379583746283
3,0.9918367346938776,0.9911894273127754,0.9195736434108527,0.9584158415841584,0.9786150712830958,0.8195067264573991,0.9029227557411273,0.853112840466926,0.8480492813141683,0.8711595639246779
4,0.9897959183673469,0.9894273127753304,0.9224806201550387,0.9772277227722772,0.9837067209775967,0.8778026905829597,0.9248434237995825,0.8103112840466926,0.7720739219712526,0.8275520317145689
5,0.9826530612244898,0.986784140969163,0.9273255813953488,0.9782178217821782,0.9887983706720977,0.9394618834080718,0.9258872651356994,0.7898832684824902,0.6704312114989733,0.6699702675916749
6,0.976530612244898,0.9841409691629956,0.937015503875969,0.9584158415841584,0.9867617107942973,0.9652466367713004,0.9561586638830898,0.8268482490272373,0.6119096509240246,0.5480673934588701
7,0.9275510204081633,0.9806167400881057,0.9408914728682171,0.9445544554455445,0.9816700610997964,0.9573991031390134,0.9843423799582464,0.8696498054474708,0.6848049281314168,0.6214073339940536
8,0.9091836734693878,0.9779735682819384,0.939922480620155,0.9435643564356435,0.9755600814663951,0.9181614349775785,0.9916492693110647,0.8959143968871596,0.7936344969199178,0.8245787908820614
9,0.8969387755102041,0.9762114537444934,0.937015503875969,0.9287128712871288,0.9419551934826884,0.8621076233183856,0.9937369519832986,0.9085603112840467,0.8613963039014374,0.9187314172447968
10,0.9377551020408164,0.9753303964757709,0.939922480620155,0.898019801980198,0.9215885947046843,0.8082959641255605,0.9895615866388309,0.9046692607003891,0.9065708418891171,0.9365708622398414
11,0.9387755102040817,0.9797356828193833,0.9156976744186046,0.9277227722772278,0.9276985743380856,0.8183856502242153,0.9906054279749478,0.9173151750972762,0.9127310061601642,0.933597621407334
12,0.9438775510204082,0.9823788546255506,0.9166666666666666,0.9524752475247524,0.9572301425661914,0.8800448430493274,0.9853862212943633,0.9124513618677043,0.893223819301848,0.9177403369672944
13,0.9428571428571428,0.9850220264317181,0.9234496124031008,0.9623762376237623,0.9684317718940937,0.9383408071748879,0.9707724425887265,0.9396887159533074,0.8305954825462012,0.8751238850346879
14,0.9561224489795919,0.9841409691629956,0.9282945736434108,0.9445544554455445,0.9786150712830958,0.9585201793721974,0.9582463465553236,0.9474708171206225,0.8788501026694046,0.8206144697720515
15,0.9581632653061225,0.9832599118942731,0.9341085271317829,0.9168316831683169,0.9735234215885947,0.9573991031390134,0.9561586638830898,0.943579766536965,0.9034907597535934,0.8642220019821606
16,0.9571428571428572,0.9806167400881057,0.9428294573643411,0.8940594059405941,0.9623217922606925,0.9349775784753364,0.9551148225469729,0.9046692607003891,0.9158110882956879,0.9068384539147671
17,0.9551020408163265,0.9806167400881057,0.9496124031007752,0.898019801980198,0.9582484725050916,0.9338565022421524,0.9551148225469729,0.8813229571984436,0.9065708418891171,0.9167492566897919
18,0.9326530612244898,0.9726872246696036,0.9447674418604651,0.8930693069306931,0.9521384928716904,0.9204035874439462,0.9624217118997912,0.8696498054474708,0.9373716632443532,0.9137760158572844
19,0.9102040816326531,0.9629955947136564,0.9331395348837209,0.8851485148514852,0.9205702647657841,0.8766816143497758,0.9718162839248434,0.8501945525291829,0.9568788501026694,0.9385530227948464
