batch,method,seed,test_accuracy,pseudo_precision,pseudo_coverage,agreement,distribution_tv,feature_centroid_drift,parameter_change,training_loss,buffer_size,buffer_replaced
-1,centroid,2,0.9237,,,,0.0,0.0,0.0,,0,0
0,centroid,2,0.9237,,0.0,0.98828125,0.0,0.11999958213418722,0.0,,0,0
1,centroid,2,0.9237,,0.0,0.9609375,0.0,0.12299749702215194,0.0,,0,0
2,centroid,2,0.9237,,0.0,0.953125,0.62109375,0.12191469967365265,0.0,,0,0
3,centroid,2,0.9237,,0.0,0.95703125,0.0,0.11318965926766396,0.0,,0,0
4,centroid,2,0.9237,,0.0,0.94921875,0.62109375,0.12649281919002534,0.0,,0,0
5,centroid,2,0.9237,,0.0,0.94140625,0.0,0.11272175647318364,0.0,,0,0
6,centroid,2,0.9237,,0.0,0.94140625,0.625,0.14027170576155185,0.0,,0,0
7,centroid,2,0.9237,,0.0,0.95703125,0.0,0.12349872849881649,0.0,,0,0
8,centroid,2,0.9237,,0.0,0.9609375,0.62890625,0.1275467462837696,0.0,,0,0
9,centroid,2,0.9237,,0.0,0.953125,0.0,0.13193296268582344,0.0,,0,0
10,centroid,2,0.9237,,0.0,0.9609375,0.62890625,0.11935901194810868,0.0,,0,0
11,centroid,2,0.9237,,0.0,0.98046875,0.62109375,0.10225452594459057,0.0,,0,0
12,centroid,2,0.9237,,0.0,0.953125,0.62109375,0.12261471673846244,0.0,,0,0
13,centroid,2,0.9237,,0.0,0.94921875,0.625,0.11033929362893105,0.0,,0,0
14,centroid,2,0.9237,,0.0,0.96484375,0.625,0.12062882408499717,0.0,,0,0
15,centroid,2,0.9237,,0.0,0.9453125,0.625,0.10707985311746597,0.0,,0,0
16,centroid,2,0.9237,,0.0,0.9453125,0.625,0.1139695666730404,0.0,,0,0
17,centroid,2,0.9237,,0.0,0.93359375,0.62109375,0.11801351681351661,0.0,,0,0
18,centroid,2,0.9237,,0.0,0.94921875,0.625,0.1350823774933815,0.0,,0,0
19,centroid,2,0.9237,,0.0,0.96875,0.62890625,0.1110428985208273,0.0,,0,0
