batch,method,seed,test_accuracy,pseudo_precision,pseudo_coverage,agreement,distribution_tv,feature_centroid_drift,parameter_change,training_loss,buffer_size,buffer_replaced
-1,naive,2,0.9237,,,,0.0,0.0,0.0,,0,0
0,naive,2,0.9146,0.9911894202232361,0.88671875,,0.0,0.20290098786354066,0.025570020872703773,0.02724768826738,0,0
1,naive,2,0.8762,0.990867555141449,0.85546875,,0.0,0.3172289043664932,0.020945224384601203,0.024178279098123312,0,0
2,naive,2,0.8671,0.9364162087440491,0.67578125,,0.62109375,0.31165572106838224,0.013336457481138443,0.04549274096886317,0,0
3,naive,2,0.8884,0.9450549483299255,0.7109375,,0.0,0.304604472219944,0.015206037289008843,0.038530406852563225,0,0
4,naive,2,0.9003,0.9907833933830261,0.84765625,,0.62109375,0.3237740397453308,0.01952151017410698,0.04790384601801634,0,0
5,naive,2,0.8644,0.9678899049758911,0.8515625,,0.0,0.37661850452423096,0.0206671061724923,0.03239663038402796,0,0
6,naive,2,0.8552,0.9759615659713745,0.8125,,0.625,0.39908117353916167,0.01770506861213058,0.02203719282988459,0,0
7,naive,2,0.8443,0.9729729890823364,0.8671875,,0.0,0.38325645327568053,0.01476737387823282,0.027558870846405625,0,0
8,naive,2,0.8592,0.739130437374115,0.44921875,,0.62890625,0.3761440336704254,0.007905491639809697,0.06770590506494045,0,0
9,naive,2,0.8775,0.7433628439903259,0.44140625,,0.0,0.37859493494033813,0.009959443893621014,0.07859684154391289,0,0
10,naive,2,0.8829,0.981566846370697,0.84765625,,0.62890625,0.34165835976600645,0.01819677785902862,0.03424967871978879,0,0
11,naive,2,0.8732,0.9677419066429138,0.84765625,,0.62109375,0.3408598989248276,0.01840303542909424,0.04838867438957095,0,0
12,naive,2,0.8621,0.9789029359817505,0.92578125,,0.62109375,0.3726537525653839,0.01948249416417238,0.021439521806314588,0,0
13,naive,2,0.857,0.9599999785423279,0.87890625,,0.625,0.3683821648359299,0.015187890879452834,0.030750453239306808,0,0
14,naive,2,0.854,0.9521530866622925,0.81640625,,0.625,0.3755618780851364,0.016066578716240457,0.025319945067167282,0,0
15,naive,2,0.8442,0.7464115023612976,0.81640625,,0.625,0.39821008741855624,0.016898855683136003,0.035301314666867256,0,0
16,naive,2,0.8351,0.9449541568756104,0.8515625,,0.625,0.4307591736316681,0.014456117893658197,0.021325261099264026,0,0
17,naive,2,0.8401,0.9119170904159546,0.75390625,,0.62109375,0.45014417767524717,0.014735568933350936,0.03278059931471944,0,0
18,naive,2,0.8423,0.9276018142700195,0.86328125,,0.625,0.43820191025733946,0.015558217541295228,0.029749809997156262,0,0
19,naive,2,0.8394,0.6885964870452881,0.890625,,0.62890625,0.4323140323162079,0.015835062301957872,0.030449154321104288,0,0
