dataset,method,seed,initial_accuracy,final_accuracy,mean_stream_accuracy,classwise_forgetting,average_incremental_accuracy,backward_transfer_proxy,mean_pseudo_precision,mean_pseudo_coverage,mean_initial_pseudo_precision,mean_cluster_precision,mean_semantic_precision,mean_sharpness_gap,mean_flat_width,mean_projected_gradient_fraction,mean_parameter_change,mean_batch_seconds,total_seconds,final_subspace_rank,config
cifar10,sdsl_full,0,0.2835,0.3634,0.33237500000000003,0.10049999999999999,0.33004761904761903,0.0799,0.3015625,1.0,0.324609375,0.2673828125,0.271875,0.775584286749363,0.11170936358671282,0.7429072643951574,0.010833207616807807,5.66864385835,120.444422208,8,"{'dataset': 'cifar10', 'seed': 0, 'data_root': './data', 'initial_per_class': 100, 'stream_batches': 20, 'stream_batch_size': 256, 'dominant_fraction': 0.7, 'train_batch_size': 64, 'test_batch_size': 256, 'initial_epochs': 5, 'generation_warmup_epochs': 1, 'replay_epochs': 1, 'initial_lr': 0.001, 'warmup_lr': 0.0002, 'replay_lr': 0.0005, 'semantic_rank': 5, 'semantic_blend': 0.7, 'centroid_iterations': 5, 'centroid_temperature': 0.2, 'classifier_weight': 0.35, 'pseudo_threshold': 0.0, 'min_accept_fraction': 0.25, 'lookback_limit': 256, 'subspace_rank': 8, 'subspace_batches': 2, 'ascent_steps': 2, 'ascent_lr': 0.02, 'max_perturb_norm': 0.25, 'gradient_clip': 5.0, 'weight_decay': 0.0001, 'device': 'auto'}"
cifar10,sdsl_full,1,0.2985,0.367,0.32863000000000003,0.08060000000000003,0.3271952380952381,0.06849999999999999,0.305078125,1.0,0.3279296875,0.263671875,0.2693359375,0.5029647091031075,0.085700910444194,0.675488877301954,0.010725404602530103,5.6647820647,120.342792958,8,"{'dataset': 'cifar10', 'seed': 1, 'data_root': './data', 'initial_per_class': 100, 'stream_batches': 20, 'stream_batch_size': 256, 'dominant_fraction': 0.7, 'train_batch_size': 64, 'test_batch_size': 256, 'initial_epochs': 5, 'generation_warmup_epochs': 1, 'replay_epochs': 1, 'initial_lr': 0.001, 'warmup_lr': 0.0002, 'replay_lr': 0.0005, 'semantic_rank': 5, 'semantic_blend': 0.7, 'centroid_iterations': 5, 'centroid_temperature': 0.2, 'classifier_weight': 0.35, 'pseudo_threshold': 0.0, 'min_accept_fraction': 0.25, 'lookback_limit': 256, 'subspace_rank': 8, 'subspace_batches': 2, 'ascent_steps': 2, 'ascent_lr': 0.02, 'max_perturb_norm': 0.25, 'gradient_clip': 5.0, 'weight_decay': 0.0001, 'device': 'auto'}"
cifar10,sdsl_full,2,0.3047,0.3808,0.34553,0.0831,0.3435857142857143,0.0761,0.324609375,1.0,0.35,0.281640625,0.2890625,0.6980400308966636,0.10491222785862017,0.6676187289661683,0.010905138037658977,5.650099800100001,119.945099958,8,"{'dataset': 'cifar10', 'seed': 2, 'data_root': './data', 'initial_per_class': 100, 'stream_batches': 20, 'stream_batch_size': 256, 'dominant_fraction': 0.7, 'train_batch_size': 64, 'test_batch_size': 256, 'initial_epochs': 5, 'generation_warmup_epochs': 1, 'replay_epochs': 1, 'initial_lr': 0.001, 'warmup_lr': 0.0002, 'replay_lr': 0.0005, 'semantic_rank': 5, 'semantic_blend': 0.7, 'centroid_iterations': 5, 'centroid_temperature': 0.2, 'classifier_weight': 0.35, 'pseudo_threshold': 0.0, 'min_accept_fraction': 0.25, 'lookback_limit': 256, 'subspace_rank': 8, 'subspace_batches': 2, 'ascent_steps': 2, 'ascent_lr': 0.02, 'max_perturb_norm': 0.25, 'gradient_clip': 5.0, 'weight_decay': 0.0001, 'device': 'auto'}"
cifar10,sdsl_full,3,0.3019,0.3709,0.34425999999999995,0.11510000000000001,0.3422428571428572,0.069,0.29609375,1.0,0.3240234375,0.268359375,0.2724609375,0.6078404113650322,0.09746989557059438,0.6943919938671357,0.010937000618684781,5.6643756624,120.289524834,8,"{'dataset': 'cifar10', 'seed': 3, 'data_root': './data', 'initial_per_class': 100, 'stream_batches': 20, 'stream_batch_size': 256, 'dominant_fraction': 0.7, 'train_batch_size': 64, 'test_batch_size': 256, 'initial_epochs': 5, 'generation_warmup_epochs': 1, 'replay_epochs': 1, 'initial_lr': 0.001, 'warmup_lr': 0.0002, 'replay_lr': 0.0005, 'semantic_rank': 5, 'semantic_blend': 0.7, 'centroid_iterations': 5, 'centroid_temperature': 0.2, 'classifier_weight': 0.35, 'pseudo_threshold': 0.0, 'min_accept_fraction': 0.25, 'lookback_limit': 256, 'subspace_rank': 8, 'subspace_batches': 2, 'ascent_steps': 2, 'ascent_lr': 0.02, 'max_perturb_norm': 0.25, 'gradient_clip': 5.0, 'weight_decay': 0.0001, 'device': 'auto'}"
cifar10,sdsl_full,4,0.2992,0.3889,0.35439999999999994,0.06440000000000001,0.3517714285714286,0.08969999999999999,0.321484375,1.0,0.3505859375,0.287109375,0.290234375,0.7454194837808608,0.10973897172758977,0.7014185785976108,0.01060712676065668,5.64953656665,120.08432220799999,8,"{'dataset': 'cifar10', 'seed': 4, 'data_root': './data', 'initial_per_class': 100, 'stream_batches': 20, 'stream_batch_size': 256, 'dominant_fraction': 0.7, 'train_batch_size': 64, 'test_batch_size': 256, 'initial_epochs': 5, 'generation_warmup_epochs': 1, 'replay_epochs': 1, 'initial_lr': 0.001, 'warmup_lr': 0.0002, 'replay_lr': 0.0005, 'semantic_rank': 5, 'semantic_blend': 0.7, 'centroid_iterations': 5, 'centroid_temperature': 0.2, 'classifier_weight': 0.35, 'pseudo_threshold': 0.0, 'min_accept_fraction': 0.25, 'lookback_limit': 256, 'subspace_rank': 8, 'subspace_batches': 2, 'ascent_steps': 2, 'ascent_lr': 0.02, 'max_perturb_norm': 0.25, 'gradient_clip': 5.0, 'weight_decay': 0.0001, 'device': 'auto'}"
mnist,sdsl_full,0,0.6278,0.8543,0.770065,0.021868254982685076,0.7604901459726732,0.2279281699993166,0.7294921875,1.0,0.7599609375,0.5755859375,0.5853515625,2.016862052306533,0.14734429131051346,0.7381413246742841,0.011601410979977581,4.616948426999999,98.22400266700001,8,"{'dataset': 'mnist', 'seed': 0, 'data_root': './data', 'initial_per_class': 100, 'stream_batches': 20, 'stream_batch_size': 256, 'dominant_fraction': 0.7, 'train_batch_size': 64, 'test_batch_size': 256, 'initial_epochs': 5, 'generation_warmup_epochs': 1, 'replay_epochs': 1, 'initial_lr': 0.001, 'warmup_lr': 0.0002, 'replay_lr': 0.0005, 'semantic_rank': 5, 'semantic_blend': 0.7, 'centroid_iterations': 5, 'centroid_temperature': 0.2, 'classifier_weight': 0.35, 'pseudo_threshold': 0.0, 'min_accept_fraction': 0.25, 'lookback_limit': 256, 'subspace_rank': 8, 'subspace_batches': 2, 'ascent_steps': 2, 'ascent_lr': 0.02, 'max_perturb_norm': 0.25, 'gradient_clip': 5.0, 'weight_decay': 0.0001, 'device': 'auto'}"
mnist,sdsl_full,1,0.5594,0.8368,0.7228000000000001,0.0466077727649903,0.7100715251690799,0.2768805413934273,0.6791015625,1.0,0.705859375,0.5306640625,0.5375,2.827528172433376,0.1765690883022866,0.7412865652035516,0.011461758505719706,4.641578354399999,99.01455983299999,8,"{'dataset': 'mnist', 'seed': 1, 'data_root': './data', 'initial_per_class': 100, 'stream_batches': 20, 'stream_batch_size': 256, 'dominant_fraction': 0.7, 'train_batch_size': 64, 'test_batch_size': 256, 'initial_epochs': 5, 'generation_warmup_epochs': 1, 'replay_epochs': 1, 'initial_lr': 0.001, 'warmup_lr': 0.0002, 'replay_lr': 0.0005, 'semantic_rank': 5, 'semantic_blend': 0.7, 'centroid_iterations': 5, 'centroid_temperature': 0.2, 'classifier_weight': 0.35, 'pseudo_threshold': 0.0, 'min_accept_fraction': 0.25, 'lookback_limit': 256, 'subspace_rank': 8, 'subspace_batches': 2, 'ascent_steps': 2, 'ascent_lr': 0.02, 'max_perturb_norm': 0.25, 'gradient_clip': 5.0, 'weight_decay': 0.0001, 'device': 'auto'}"
mnist,sdsl_full,2,0.5077,0.8188,0.7264399999999999,0.04749933922010986,0.7115538452479977,0.30973759408566437,0.68671875,1.0,0.7177734375,0.5466796875,0.5587890625,2.8146033123880625,0.17347448488608713,0.7561841583362271,0.011526396135164759,4.624543193949998,98.543372458,8,"{'dataset': 'mnist', 'seed': 2, 'data_root': './data', 'initial_per_class': 100, 'stream_batches': 20, 'stream_batch_size': 256, 'dominant_fraction': 0.7, 'train_batch_size': 64, 'test_batch_size': 256, 'initial_epochs': 5, 'generation_warmup_epochs': 1, 'replay_epochs': 1, 'initial_lr': 0.001, 'warmup_lr': 0.0002, 'replay_lr': 0.0005, 'semantic_rank': 5, 'semantic_blend': 0.7, 'centroid_iterations': 5, 'centroid_temperature': 0.2, 'classifier_weight': 0.35, 'pseudo_threshold': 0.0, 'min_accept_fraction': 0.25, 'lookback_limit': 256, 'subspace_rank': 8, 'subspace_batches': 2, 'ascent_steps': 2, 'ascent_lr': 0.02, 'max_perturb_norm': 0.25, 'gradient_clip': 5.0, 'weight_decay': 0.0001, 'device': 'auto'}"
mnist,sdsl_full,3,0.6408,0.8233,0.75681,0.061197131995184596,0.7486069751441538,0.18124411404956534,0.7302734375,1.0,0.7580078125,0.5970703125,0.6041015625,3.1610774363577367,0.18649876756576955,0.7349101315910883,0.010672014984071714,4.62614470835,98.587478542,8,"{'dataset': 'mnist', 'seed': 3, 'data_root': './data', 'initial_per_class': 100, 'stream_batches': 20, 'stream_batch_size': 256, 'dominant_fraction': 0.7, 'train_batch_size': 64, 'test_batch_size': 256, 'initial_epochs': 5, 'generation_warmup_epochs': 1, 'replay_epochs': 1, 'initial_lr': 0.001, 'warmup_lr': 0.0002, 'replay_lr': 0.0005, 'semantic_rank': 5, 'semantic_blend': 0.7, 'centroid_iterations': 5, 'centroid_temperature': 0.2, 'classifier_weight': 0.35, 'pseudo_threshold': 0.0, 'min_accept_fraction': 0.25, 'lookback_limit': 256, 'subspace_rank': 8, 'subspace_batches': 2, 'ascent_steps': 2, 'ascent_lr': 0.02, 'max_perturb_norm': 0.25, 'gradient_clip': 5.0, 'weight_decay': 0.0001, 'device': 'auto'}"
mnist,sdsl_full,4,0.6113,0.832,0.77842,0.09848301839459124,0.7696807128633998,0.2188464058644633,0.751171875,1.0,0.7736328125,0.5966796875,0.6044921875,3.679714623242617,0.19235332953255802,0.7217570651034537,0.010415253810672225,4.65218482915,99.14667754099999,8,"{'dataset': 'mnist', 'seed': 4, 'data_root': './data', 'initial_per_class': 100, 'stream_batches': 20, 'stream_batch_size': 256, 'dominant_fraction': 0.7, 'train_batch_size': 64, 'test_batch_size': 256, 'initial_epochs': 5, 'generation_warmup_epochs': 1, 'replay_epochs': 1, 'initial_lr': 0.001, 'warmup_lr': 0.0002, 'replay_lr': 0.0005, 'semantic_rank': 5, 'semantic_blend': 0.7, 'centroid_iterations': 5, 'centroid_temperature': 0.2, 'classifier_weight': 0.35, 'pseudo_threshold': 0.0, 'min_accept_fraction': 0.25, 'lookback_limit': 256, 'subspace_rank': 8, 'subspace_batches': 2, 'ascent_steps': 2, 'ascent_lr': 0.02, 'max_perturb_norm': 0.25, 'gradient_clip': 5.0, 'weight_decay': 0.0001, 'device': 'auto'}"
