batch,class_0_accuracy,class_1_accuracy,class_2_accuracy,class_3_accuracy,class_4_accuracy,class_5_accuracy,class_6_accuracy,class_7_accuracy,class_8_accuracy,class_9_accuracy
-1,0.362,0.53,0.022,0.568,0.172,0.064,0.525,0.043,0.464,0.232
0,0.362,0.53,0.022,0.568,0.172,0.064,0.525,0.043,0.464,0.232
1,0.362,0.53,0.022,0.568,0.172,0.064,0.525,0.043,0.464,0.232
2,0.362,0.53,0.022,0.568,0.172,0.064,0.525,0.043,0.464,0.232
3,0.362,0.53,0.022,0.568,0.172,0.064,0.525,0.043,0.464,0.232
4,0.362,0.53,0.022,0.568,0.172,0.064,0.525,0.043,0.464,0.232
5,0.362,0.53,0.022,0.568,0.172,0.064,0.525,0.043,0.464,0.232
6,0.362,0.53,0.022,0.568,0.172,0.064,0.525,0.043,0.464,0.232
7,0.362,0.53,0.022,0.568,0.172,0.064,0.525,0.043,0.464,0.232
8,0.362,0.53,0.022,0.568,0.172,0.064,0.525,0.043,0.464,0.232
9,0.362,0.53,0.022,0.568,0.172,0.064,0.525,0.043,0.464,0.232
10,0.362,0.53,0.022,0.568,0.172,0.064,0.525,0.043,0.464,0.232
11,0.362,0.53,0.022,0.568,0.172,0.064,0.525,0.043,0.464,0.232
12,0.362,0.53,0.022,0.568,0.172,0.064,0.525,0.043,0.464,0.232
13,0.362,0.53,0.022,0.568,0.172,0.064,0.525,0.043,0.464,0.232
14,0.362,0.53,0.022,0.568,0.172,0.064,0.525,0.043,0.464,0.232
15,0.362,0.53,0.022,0.568,0.172,0.064,0.525,0.043,0.464,0.232
16,0.362,0.53,0.022,0.568,0.172,0.064,0.525,0.043,0.464,0.232
17,0.362,0.53,0.022,0.568,0.172,0.064,0.525,0.043,0.464,0.232
18,0.362,0.53,0.022,0.568,0.172,0.064,0.525,0.043,0.464,0.232
19,0.362,0.53,0.022,0.568,0.172,0.064,0.525,0.043,0.464,0.232
