batch,class_0_accuracy,class_1_accuracy,class_2_accuracy,class_3_accuracy,class_4_accuracy,class_5_accuracy,class_6_accuracy,class_7_accuracy,class_8_accuracy,class_9_accuracy
-1,0.615,0.154,0.064,0.029,0.479,0.513,0.128,0.316,0.383,0.318
0,0.615,0.154,0.064,0.029,0.479,0.513,0.128,0.316,0.383,0.318
1,0.615,0.154,0.064,0.029,0.479,0.513,0.128,0.316,0.383,0.318
2,0.615,0.154,0.064,0.029,0.479,0.513,0.128,0.316,0.383,0.318
3,0.615,0.154,0.064,0.029,0.479,0.513,0.128,0.316,0.383,0.318
4,0.615,0.154,0.064,0.029,0.479,0.513,0.128,0.316,0.383,0.318
5,0.615,0.154,0.064,0.029,0.479,0.513,0.128,0.316,0.383,0.318
6,0.615,0.154,0.064,0.029,0.479,0.513,0.128,0.316,0.383,0.318
7,0.615,0.154,0.064,0.029,0.479,0.513,0.128,0.316,0.383,0.318
8,0.615,0.154,0.064,0.029,0.479,0.513,0.128,0.316,0.383,0.318
9,0.615,0.154,0.064,0.029,0.479,0.513,0.128,0.316,0.383,0.318
10,0.615,0.154,0.064,0.029,0.479,0.513,0.128,0.316,0.383,0.318
11,0.615,0.154,0.064,0.029,0.479,0.513,0.128,0.316,0.383,0.318
12,0.615,0.154,0.064,0.029,0.479,0.513,0.128,0.316,0.383,0.318
13,0.615,0.154,0.064,0.029,0.479,0.513,0.128,0.316,0.383,0.318
14,0.615,0.154,0.064,0.029,0.479,0.513,0.128,0.316,0.383,0.318
15,0.615,0.154,0.064,0.029,0.479,0.513,0.128,0.316,0.383,0.318
16,0.615,0.154,0.064,0.029,0.479,0.513,0.128,0.316,0.383,0.318
17,0.615,0.154,0.064,0.029,0.479,0.513,0.128,0.316,0.383,0.318
18,0.615,0.154,0.064,0.029,0.479,0.513,0.128,0.316,0.383,0.318
19,0.615,0.154,0.064,0.029,0.479,0.513,0.128,0.316,0.383,0.318
