batch,class_0_accuracy,class_1_accuracy,class_2_accuracy,class_3_accuracy,class_4_accuracy,class_5_accuracy,class_6_accuracy,class_7_accuracy,class_8_accuracy,class_9_accuracy
-1,0.463,0.473,0.063,0.166,0.281,0.067,0.453,0.086,0.564,0.165
0,0.463,0.473,0.063,0.166,0.281,0.067,0.453,0.086,0.564,0.165
1,0.463,0.473,0.063,0.166,0.281,0.067,0.453,0.086,0.564,0.165
2,0.463,0.473,0.063,0.166,0.281,0.067,0.453,0.086,0.564,0.165
3,0.463,0.473,0.063,0.166,0.281,0.067,0.453,0.086,0.564,0.165
4,0.463,0.473,0.063,0.166,0.281,0.067,0.453,0.086,0.564,0.165
5,0.463,0.473,0.063,0.166,0.281,0.067,0.453,0.086,0.564,0.165
6,0.463,0.473,0.063,0.166,0.281,0.067,0.453,0.086,0.564,0.165
7,0.463,0.473,0.063,0.166,0.281,0.067,0.453,0.086,0.564,0.165
8,0.463,0.473,0.063,0.166,0.281,0.067,0.453,0.086,0.564,0.165
9,0.463,0.473,0.063,0.166,0.281,0.067,0.453,0.086,0.564,0.165
10,0.463,0.473,0.063,0.166,0.281,0.067,0.453,0.086,0.564,0.165
11,0.463,0.473,0.063,0.166,0.281,0.067,0.453,0.086,0.564,0.165
12,0.463,0.473,0.063,0.166,0.281,0.067,0.453,0.086,0.564,0.165
13,0.463,0.473,0.063,0.166,0.281,0.067,0.453,0.086,0.564,0.165
14,0.463,0.473,0.063,0.166,0.281,0.067,0.453,0.086,0.564,0.165
15,0.463,0.473,0.063,0.166,0.281,0.067,0.453,0.086,0.564,0.165
16,0.463,0.473,0.063,0.166,0.281,0.067,0.453,0.086,0.564,0.165
17,0.463,0.473,0.063,0.166,0.281,0.067,0.453,0.086,0.564,0.165
18,0.463,0.473,0.063,0.166,0.281,0.067,0.453,0.086,0.564,0.165
19,0.463,0.473,0.063,0.166,0.281,0.067,0.453,0.086,0.564,0.165
