batch,class_0_accuracy,class_1_accuracy,class_2_accuracy,class_3_accuracy,class_4_accuracy,class_5_accuracy,class_6_accuracy,class_7_accuracy,class_8_accuracy,class_9_accuracy
-1,0.47959183673469385,0.9647577092511013,0.687984496124031,0.13267326732673268,0.6965376782077393,0.7634529147982063,0.8977035490605428,0.7821011673151751,0.5379876796714579,0.6798810703666998
0,0.05408163265306123,0.9920704845814978,0.5552325581395349,0.0009900990099009901,0.3757637474541752,0.8217488789237668,0.8079331941544885,0.7762645914396887,0.16837782340862423,0.16253716551040634
1,0.0,0.9991189427312775,0.15213178294573643,0.0,0.0,0.5392376681614349,0.13987473903966596,0.0914396887159533,0.0,0.0
2,0.0,1.0,0.020348837209302327,0.0,0.0,0.21076233183856502,0.011482254697286013,0.0038910505836575876,0.0,0.0
3,0.0,1.0,0.0,0.0,0.0,0.002242152466367713,0.0,0.0,0.0,0.0
4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
