batch,class_0_accuracy,class_1_accuracy,class_2_accuracy,class_3_accuracy,class_4_accuracy,class_5_accuracy,class_6_accuracy,class_7_accuracy,class_8_accuracy,class_9_accuracy
-1,0.6275510204081632,0.8088105726872247,0.12790697674418605,0.808910891089109,0.2668024439918534,0.26905829596412556,0.20772442588726514,0.42996108949416345,0.9650924024640657,0.2705649157581764
0,0.47551020408163264,0.9770925110132158,0.1385658914728682,0.6188118811881188,0.5264765784114053,0.5672645739910314,0.4091858037578288,0.7509727626459144,0.8737166324435318,0.6134786917740337
1,0.018367346938775512,0.9947136563876652,0.001937984496124031,0.01881188118811881,0.016293279022403257,0.594170403587444,0.055323590814196244,0.3949416342412451,0.11190965092402463,0.04261645193260654
2,0.0,0.9982378854625551,0.0,0.0,0.0,0.16928251121076232,0.0010438413361169101,0.1293774319066148,0.002053388090349076,0.0009910802775024777
3,0.0,1.0,0.0,0.0,0.0,0.0033632286995515697,0.0,0.019455252918287938,0.0,0.0
4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
