dataset,batch,method,seed,test_accuracy,pseudo_precision,pseudo_coverage,accepted_count,rejected_count,mean_accepted_confidence,distribution_tv,feature_centroid_drift,parameter_change,training_loss,buffer_size,buffer_replaced,buffer_total_seen,batch_seconds
cifar10,-1,ewc,3,0.2781,,,0,0,,0.0,0.0,0.0,,0,0,0,0.0
cifar10,0,ewc,3,0.2781,,0.0,0,256,,0.0,0.16428642012178898,0.0,,0,0,0,4.4098377499999994
cifar10,1,ewc,3,0.2781,,0.0,0,256,,0.0,0.21299706548452377,0.0,,0,0,0,4.327036750000001
cifar10,2,ewc,3,0.2781,,0.0,0,256,,0.62109375,0.160433641821146,0.0,,0,0,0,4.307044000000001
cifar10,3,ewc,3,0.2781,,0.0,0,256,,0.0,0.12195439338684082,0.0,,0,0,0,4.329514708000001
cifar10,4,ewc,3,0.2781,,0.0,0,256,,0.62109375,0.19578613266348838,0.0,,0,0,0,4.342545832999999
cifar10,5,ewc,3,0.2781,,0.0,0,256,,0.0,0.14643994122743606,0.0,,0,0,0,4.319644665999995
cifar10,6,ewc,3,0.2781,,0.0,0,256,,0.625,0.13820017576217652,0.0,,0,0,0,4.321545790999998
cifar10,7,ewc,3,0.2781,,0.0,0,256,,0.0,0.2919375292956829,0.0,,0,0,0,4.335828124999999
cifar10,8,ewc,3,0.2781,,0.0,0,256,,0.62890625,0.2136795736849308,0.0,,0,0,0,4.331021749999998
cifar10,9,ewc,3,0.2781,,0.0,0,256,,0.0,0.19590588808059692,0.0,,0,0,0,4.344421334000003
cifar10,10,ewc,3,0.2781,,0.0,0,256,,0.62890625,0.20294023305177689,0.0,,0,0,0,4.317650084
cifar10,11,ewc,3,0.2781,,0.0,0,256,,0.62109375,0.19951351210474969,0.0,,0,0,0,4.3522391670000005
cifar10,12,ewc,3,0.2781,,0.0,0,256,,0.62109375,0.19395818710327148,0.0,,0,0,0,4.338822332999996
cifar10,13,ewc,3,0.2781,,0.0,0,256,,0.625,0.1492316484451294,0.0,,0,0,0,4.323124000000007
cifar10,14,ewc,3,0.2781,,0.0,0,256,,0.625,0.22435271590948105,0.0,,0,0,0,4.323506166000001
cifar10,15,ewc,3,0.2781,,0.0,0,256,,0.625,0.15942986980080603,0.0,,0,0,0,4.33820829199999
cifar10,16,ewc,3,0.2781,,0.0,0,256,,0.625,0.1901068404316902,0.0,,0,0,0,4.3342939169999966
cifar10,17,ewc,3,0.2781,,0.0,0,256,,0.62109375,0.16102832406759263,0.0,,0,0,0,4.361090292
cifar10,18,ewc,3,0.2781,,0.0,0,256,,0.625,0.19898617044091224,0.0,,0,0,0,4.340116000000009
cifar10,19,ewc,3,0.2781,,0.0,0,256,,0.62890625,0.15578001067042352,0.0,,0,0,0,4.320027082999999
