dataset,batch,method,seed,test_accuracy,pseudo_precision,pseudo_coverage,accepted_count,rejected_count,mean_accepted_confidence,distribution_tv,feature_centroid_drift,parameter_change,training_loss,buffer_size,buffer_replaced,buffer_total_seen,batch_seconds
cifar10,-1,naive,2,0.3127,,,0,0,,0.0,0.0,0.0,,0,0,0,0.0
cifar10,0,naive,2,0.3127,,0.0,0,256,,0.0,0.19710835814476013,0.0,,0,0,0,4.524009833000001
cifar10,1,naive,2,0.3127,,0.0,0,256,,0.0,0.16820716708898545,0.0,,0,0,0,4.507265042
cifar10,2,naive,2,0.3127,,0.0,0,256,,0.62109375,0.18311071284115316,0.0,,0,0,0,4.4991710000000005
cifar10,3,naive,2,0.3127,,0.0,0,256,,0.0,0.18255661502480508,0.0,,0,0,0,4.5189201249999975
cifar10,4,naive,2,0.3127,,0.0,0,256,,0.62109375,0.19472434297204017,0.0,,0,0,0,4.515450832999999
cifar10,5,naive,2,0.3127,,0.0,0,256,,0.0,0.20603178553283213,0.0,,0,0,0,4.516369459
cifar10,6,naive,2,0.3127,,0.0,0,256,,0.625,0.13748761788010597,0.0,,0,0,0,4.5176605420000016
cifar10,7,naive,2,0.3127,,0.0,0,256,,0.0,0.19740351662039757,0.0,,0,0,0,4.516886125000006
cifar10,8,naive,2,0.3127,,0.0,0,256,,0.62890625,0.15907713398337364,0.0,,0,0,0,4.514652834000003
cifar10,9,naive,2,0.3127,,0.0,0,256,,0.0,0.20425409823656082,0.0,,0,0,0,4.5174615419999995
cifar10,10,naive,2,0.3127,,0.0,0,256,,0.62890625,0.16036257818341254,0.0,,0,0,0,4.503196791999997
cifar10,11,naive,2,0.3127,,0.0,0,256,,0.62109375,0.17907653301954268,0.0,,0,0,0,4.514158625
cifar10,12,naive,2,0.3127,,0.0,0,256,,0.62109375,0.1788204424083233,0.0,,0,0,0,4.515675416999997
cifar10,13,naive,2,0.3127,,0.0,0,256,,0.625,0.2110381368547678,0.0,,0,0,0,4.485686583000003
cifar10,14,naive,2,0.3127,,0.0,0,256,,0.625,0.21557239145040513,0.0,,0,0,0,4.50677645799999
cifar10,15,naive,2,0.3127,,0.0,0,256,,0.625,0.18287734016776086,0.0,,0,0,0,4.507270500000004
cifar10,16,naive,2,0.3127,,0.0,0,256,,0.625,0.1646362729370594,0.0,,0,0,0,4.51736425
cifar10,17,naive,2,0.3127,,0.0,0,256,,0.62109375,0.162921242415905,0.0,,0,0,0,4.513471541000001
cifar10,18,naive,2,0.3127,,0.0,0,256,,0.625,0.19041174575686454,0.0,,0,0,0,4.50196970799999
cifar10,19,naive,2,0.3127,,0.0,0,256,,0.62890625,0.20010759234428405,0.0,,0,0,0,4.5178567079999965
