dataset,batch,method,seed,test_accuracy,pseudo_precision,pseudo_coverage,accepted_count,rejected_count,mean_accepted_confidence,distribution_tv,feature_centroid_drift,parameter_change,training_loss,buffer_size,buffer_replaced,buffer_total_seen,batch_seconds
cifar10,-1,replay,0,0.2982,,,0,0,,0.0,0.0,0.0,,0,0,0,0.0
cifar10,0,replay,0,0.2982,,0.0,0,256,,0.0,0.17131369262933732,0.0,,0,0,0,4.318952959000001
cifar10,1,replay,0,0.2982,,0.0,0,256,,0.0,0.14293828718364238,0.0,,0,0,0,4.3078759170000005
cifar10,2,replay,0,0.2982,,0.0,0,256,,0.62109375,0.14338427633047104,0.0,,0,0,0,4.301940708
cifar10,3,replay,0,0.2982,,0.0,0,256,,0.0,0.17656842172145842,0.0,,0,0,0,4.320789542
cifar10,4,replay,0,0.2982,,0.0,0,256,,0.62109375,0.1572083266451955,0.0,,0,0,0,4.329171250000002
cifar10,5,replay,0,0.2982,,0.0,0,256,,0.0,0.12622333206236364,0.0,,0,0,0,4.322889415999999
cifar10,6,replay,0,0.2982,,0.0,0,256,,0.625,0.17804450318217277,0.0,,0,0,0,4.325247542
cifar10,7,replay,0,0.2982,,0.0,0,256,,0.0,0.15438767559826375,0.0,,0,0,0,4.327319875000001
cifar10,8,replay,0,0.2982,,0.0,0,256,,0.62890625,0.13456583134829997,0.0,,0,0,0,4.316311459000005
cifar10,9,replay,0,0.2982,,0.0,0,256,,0.0,0.14500679783523082,0.0,,0,0,0,4.319169333000005
cifar10,10,replay,0,0.2982,,0.0,0,256,,0.62890625,0.11501636877655982,0.0,,0,0,0,4.316255167000001
cifar10,11,replay,0,0.2982,,0.0,0,256,,0.62109375,0.13845189176499845,0.0,,0,0,0,4.319471290999999
cifar10,12,replay,0,0.2982,,0.0,0,256,,0.62109375,0.13819087594747542,0.0,,0,0,0,4.327223666999991
cifar10,13,replay,0,0.2982,,0.0,0,256,,0.625,0.15067687220871448,0.0,,0,0,0,4.3272356669999965
cifar10,14,replay,0,0.2982,,0.0,0,256,,0.625,0.20551902428269386,0.0,,0,0,0,4.3206028330000095
cifar10,15,replay,0,0.2982,,0.0,0,256,,0.625,0.11159407570958138,0.0,,0,0,0,4.330035874999993
cifar10,16,replay,0,0.2982,,0.0,0,256,,0.625,0.16051302552223207,0.0,,0,0,0,4.337291999999991
cifar10,17,replay,0,0.2982,,0.0,0,256,,0.62109375,0.15148356333374977,0.0,,0,0,0,4.327872667000008
cifar10,18,replay,0,0.2982,,0.0,0,256,,0.625,0.190022274851799,0.0,,0,0,0,4.337415332999996
cifar10,19,replay,0,0.2982,,0.0,0,256,,0.62890625,0.1963964082300663,0.0,,0,0,0,4.327874249999994
