dataset,batch,method,seed,test_accuracy,pseudo_precision,pseudo_coverage,accepted_count,rejected_count,mean_accepted_confidence,distribution_tv,feature_centroid_drift,parameter_change,training_loss,buffer_size,buffer_replaced,buffer_total_seen,batch_seconds
mnist,-1,ewc,3,0.6648,,,0,0,,0.0,0.0,0.0,,0,0,0,0.0
mnist,0,ewc,3,0.4755,1.0,0.10546875,27,229,0.9258133172988892,0.0,0.32156749814748764,0.008441378094162866,0.08759396523237228,0,0,0,3.654744082999999
mnist,1,ewc,3,0.2,1.0,0.3203125,82,174,0.9720667600631714,0.0,0.7600549340248108,0.01255630793156421,0.024156284052878618,0,0,0,3.609290125000001
mnist,2,ewc,3,0.1359,0.2702702581882477,0.14453125,37,219,0.9685354232788086,0.62109375,0.9140305101871491,0.005772348484704561,0.04617106914520264,0,0,0,3.678646209
mnist,3,ewc,3,0.1137,0.1315789520740509,0.296875,76,180,0.9642075896263123,0.0,1.0591490119695663,0.011335569992953614,0.03986054938286543,0,0,0,3.8395517499999983
mnist,4,ewc,3,0.1135,0.04065040498971939,0.9609375,246,10,0.989930272102356,0.62109375,1.1104716390371323,0.016814285806816553,0.0350214559584856,0,0,0,3.6197114160000012
mnist,5,ewc,3,0.1135,0.0390625,1.0,256,0,0.9990198612213135,0.0,1.1204850256443024,0.010084849818952543,0.04035194404423237,0,0,0,3.5558447499999986
mnist,6,ewc,3,0.1135,0.0390625,1.0,256,0,0.9995256662368774,0.625,1.1251596331596374,0.006685104443594043,0.03824095241725445,0,0,0,3.5643650419999986
mnist,7,ewc,3,0.1135,0.0390625,1.0,256,0,0.9996341466903687,0.0,1.1270316272974015,0.005456540683339469,0.03181022219359875,0,0,0,3.571155959000002
mnist,8,ewc,3,0.1135,0.0390625,1.0,256,0,0.9996939301490784,0.62890625,1.127693745493889,0.005189929425242065,0.02532805921509862,0,0,0,3.561469959
mnist,9,ewc,3,0.1135,0.0390625,1.0,256,0,0.9996510744094849,0.0,1.1246079862117768,0.005101945197447274,0.020248986780643463,0,0,0,3.5516819159999997
mnist,10,ewc,3,0.1135,0.0390625,1.0,256,0,0.9994679689407349,0.62890625,1.1227433294057847,0.004948646452342482,0.01641157828271389,0,0,0,3.5589457089999996
mnist,11,ewc,3,0.1135,0.34765625,1.0,256,0,0.9987462759017944,0.62109375,1.1150564342737197,0.004774796017634123,0.01433767075650394,0,0,0,3.553073749999996
mnist,12,ewc,3,0.1135,0.0390625,1.0,256,0,0.9990377426147461,0.62109375,1.1127735435962678,0.004870882803050295,0.0117982083465904,0,0,0,3.534696374999996
mnist,13,ewc,3,0.1135,0.0390625,1.0,256,0,0.9981741905212402,0.625,1.1148070722818375,0.004656801714788647,0.011061178520321846,0,0,0,3.5481652080000003
mnist,14,ewc,3,0.1135,0.03921568766236305,0.99609375,255,1,0.9983710646629333,0.625,1.1148640125989915,0.004578423324703551,0.01002268260344863,0,0,0,3.6179939579999996
mnist,15,ewc,3,0.1135,0.3515625,1.0,256,0,0.9993647933006287,0.625,1.1162575989961625,0.0038020992765438904,0.008632084121927619,0,0,0,3.737250541999998
mnist,16,ewc,3,0.1135,0.0390625,1.0,256,0,0.9992276430130005,0.625,1.1137408554553985,0.003403399152088599,0.008138911332935095,0,0,0,3.565505625
mnist,17,ewc,3,0.1135,0.0390625,1.0,256,0,0.9981468319892883,0.62109375,1.1136665612459182,0.0035068392817177996,0.008621977176517248,0,0,0,3.7425159169999915
mnist,18,ewc,3,0.1135,0.0390625,1.0,256,0,0.9991614818572998,0.625,1.1178299009799957,0.003442448003146128,0.007374432752840221,0,0,0,3.688524457999989
mnist,19,ewc,3,0.1135,0.0390625,1.0,256,0,0.9993840456008911,0.62890625,1.1179450839757918,0.0029465503225625436,0.006973328883759677,0,0,0,3.6204310419999928
