dataset,batch,method,seed,test_accuracy,pseudo_precision,pseudo_coverage,accepted_count,rejected_count,mean_accepted_confidence,distribution_tv,feature_centroid_drift,parameter_change,training_loss,buffer_size,buffer_replaced,buffer_total_seen,batch_seconds
mnist,-1,naive,3,0.6648,,,0,0,,0.0,0.0,0.0,,0,0,0,0.0
mnist,0,naive,3,0.4758,1.0,0.10546875,27,229,0.9258133172988892,0.0,0.32083339244127274,0.008441343212986266,0.08626632392406464,0,0,0,3.677221834000001
mnist,1,naive,3,0.1948,1.0,0.3203125,82,174,0.9720160961151123,0.0,0.7683770686388016,0.012927317876937341,0.020539969205856323,0,0,0,3.6152612499999996
mnist,2,naive,3,0.1339,0.2631579041481018,0.1484375,38,218,0.9684059023857117,0.62109375,0.9200953423976899,0.005886503408605496,0.03818598762154579,0,0,0,3.5682406669999995
mnist,3,naive,3,0.1136,0.12987013161182404,0.30078125,77,179,0.9656766653060913,0.0,1.0610344737768174,0.01149412215000289,0.022754434728994966,0,0,0,3.809135584
mnist,4,naive,3,0.1135,0.04065040498971939,0.9609375,246,10,0.9905791282653809,0.62109375,1.1115990281105042,0.017442412569551518,0.0041320392047055066,0,0,0,3.6742236669999997
mnist,5,naive,3,0.1135,0.0390625,1.0,256,0,0.9991263151168823,0.0,1.1223276883363724,0.011482782376679254,0.0006821717543061823,0,0,0,3.518530000000002
mnist,6,naive,3,0.1135,0.0390625,1.0,256,0,0.9996253848075867,0.625,1.127398219704628,0.007762625012389936,0.0004348528746049851,0,0,0,3.5526692079999975
mnist,7,naive,3,0.1135,0.0390625,1.0,256,0,0.9997497797012329,0.0,1.1299964606761932,0.0053425554360041275,0.0002713894209591672,0,0,0,3.5430653330000013
mnist,8,naive,3,0.1135,0.0390625,1.0,256,0,0.99982088804245,0.62890625,1.1315669119358063,0.0037094611299993063,0.00019235920990468003,0,0,0,3.5410619999999966
mnist,9,naive,3,0.1135,0.0390625,1.0,256,0,0.9998496770858765,0.0,1.1323971509933473,0.0026019184119587917,0.0002006406575674191,0,0,0,3.530799250000001
mnist,10,naive,3,0.1135,0.0390625,1.0,256,0,0.9998656511306763,0.62890625,1.133185788989067,0.0018431349212330497,0.0001544589176774025,0,0,0,3.5395920420000024
mnist,11,naive,3,0.1135,0.34765625,1.0,256,0,0.9998781681060791,0.62109375,1.133614844083786,0.0013252988883504864,0.00014628270582761616,0,0,0,3.555333625000003
mnist,12,naive,3,0.1135,0.0390625,1.0,256,0,0.9998870491981506,0.62109375,1.133575874567032,0.0009787813107837,0.0001357008732156828,0,0,0,3.546735875000003
mnist,13,naive,3,0.1135,0.0390625,1.0,256,0,0.9998941421508789,0.625,1.1338589280843734,0.0007489524629343991,0.00012818595496355556,0,0,0,3.538485792000003
mnist,14,naive,3,0.1135,0.0390625,1.0,256,0,0.99990314245224,0.625,1.13401101231575,0.0006090439832681797,0.00012438075646059588,0,0,0,3.546585332999996
mnist,15,naive,3,0.1135,0.3515625,1.0,256,0,0.9999005794525146,0.625,1.1339470595121384,0.0005189991678444419,0.00011792244731623214,0,0,0,3.545024416000004
mnist,16,naive,3,0.1135,0.0390625,1.0,256,0,0.9999101161956787,0.625,1.1338660538196563,0.0004656610043799501,0.00011244483721384313,0,0,0,3.5350547090000077
mnist,17,naive,3,0.1135,0.0390625,1.0,256,0,0.999916136264801,0.62109375,1.1337327659130096,0.00043344167663686255,0.00010380778621765785,0,0,0,3.632410957999994
mnist,18,naive,3,0.1135,0.0390625,1.0,256,0,0.9999170303344727,0.625,1.1337388306856155,0.00041164504240283676,0.0001111191049858462,0,0,0,3.535770458000002
mnist,19,naive,3,0.1135,0.0390625,1.0,256,0,0.9999150633811951,0.62890625,1.1337839603424071,0.00040433481144145993,0.00010851693514268845,0,0,0,3.5372264589999958
