dataset,batch,method,seed,test_accuracy,pseudo_precision,pseudo_coverage,accepted_count,rejected_count,mean_accepted_confidence,distribution_tv,feature_centroid_drift,parameter_change,training_loss,buffer_size,buffer_replaced,buffer_total_seen,batch_seconds
mnist,-1,replay,3,0.6648,,,0,0,,0.0,0.0,0.0,,0,0,0,0.0
mnist,0,replay,3,0.4743,1.0,0.10546875,27,229,0.9258133172988892,0.0,0.32184858322143556,0.00844141399094822,0.08609785884618759,27,0,27,3.6270128749999992
mnist,1,replay,3,0.1468,1.0,0.3203125,82,174,0.9719996452331543,0.0,0.8818619608879089,0.017770707308124988,0.015702119562774897,109,0,109,3.6320232079999997
mnist,2,replay,3,0.1135,0.1515151560306549,0.2578125,66,190,0.9668495655059814,0.62109375,1.0818623632192612,0.017474711819391718,0.009506316302577034,175,0,175,3.7218459169999996
mnist,3,replay,3,0.1135,0.03921568766236305,0.99609375,255,1,0.9923797249794006,0.0,1.1165234655141831,0.01875143251364936,0.002727156417677179,430,0,430,3.5820841670000014
mnist,4,replay,3,0.1135,0.0390625,1.0,256,0,0.9995404481887817,0.62109375,1.1249510377645493,0.010775870219642058,0.00044484049431048334,686,0,686,3.593392625
mnist,5,replay,3,0.1135,0.0390625,1.0,256,0,0.9997552037239075,0.0,1.127965545654297,0.006257952971429183,0.00024082523062437153,942,0,942,3.583464375000002
mnist,6,replay,3,0.1135,0.0390625,1.0,256,0,0.9998185634613037,0.625,1.1296133756637574,0.0037291994014934464,0.0002147109407815151,1000,182,1198,3.5829816659999985
mnist,7,replay,3,0.1135,0.0390625,1.0,256,0,0.9998515844345093,0.0,1.1303030490875243,0.0022999440353121585,0.000171908744960092,1000,204,1454,3.5883639999999986
mnist,8,replay,3,0.1135,0.0390625,1.0,256,0,0.9998788237571716,0.62890625,1.130592742562294,0.0015134980033874746,0.00014273682851732397,1000,168,1710,3.5898952920000013
mnist,9,replay,3,0.1135,0.0390625,1.0,256,0,0.9998903274536133,0.0,1.1305856734514237,0.0011018838645758657,0.0001387194546017175,1000,147,1966,3.5944276250000016
mnist,10,replay,3,0.1135,0.0390625,1.0,256,0,0.9998965263366699,0.62890625,1.1308635830879212,0.0009004484454207058,0.00012165076380673175,1000,120,2222,3.568119207999999
mnist,11,replay,3,0.1135,0.34765625,1.0,256,0,0.9999041557312012,0.62109375,1.1308950394392014,0.0008066700398636834,0.00011954365497028145,1000,100,2478,3.5964061250000015
mnist,12,replay,3,0.1135,0.0390625,1.0,256,0,0.9999082088470459,0.62109375,1.1305518239736556,0.0007519037383524887,0.0001184654829557985,1000,95,2734,3.590622707999998
mnist,13,replay,3,0.1135,0.0390625,1.0,256,0,0.9999142289161682,0.625,1.1306425899267196,0.0007127371081056324,0.00010611566297787552,1000,74,2990,3.589993458000002
mnist,14,replay,3,0.1135,0.0390625,1.0,256,0,0.9999207258224487,0.625,1.1307096213102341,0.0007027167603104026,0.000104935621493496,1000,78,3246,3.5949867080000004
mnist,15,replay,3,0.1135,0.3515625,1.0,256,0,0.9999201893806458,0.625,1.1305191040039062,0.0006905982677423362,0.0001043591170552342,1000,67,3502,3.615780208000004
mnist,16,replay,3,0.1135,0.0390625,1.0,256,0,0.9999281167984009,0.625,1.1303499907255172,0.0006690998364918346,9.280365096249928e-05,1000,77,3758,3.5965245830000043
mnist,17,replay,3,0.1135,0.0390625,1.0,256,0,0.9999342560768127,0.62109375,1.1302175015211104,0.0006391962503877883,8.551990322303027e-05,1000,74,4014,3.589939375
mnist,18,replay,3,0.1135,0.0390625,1.0,256,0,0.9999357461929321,0.625,1.1301934868097305,0.0006175689485550015,8.308217123461266e-05,1000,46,4270,3.6028232079999896
mnist,19,replay,3,0.1135,0.0390625,1.0,256,0,0.9999351501464844,0.62890625,1.1302428811788559,0.0006142194076553766,8.531721202113356e-05,1000,58,4526,3.5801326669999867
