dataset,batch,method,seed,test_accuracy,pseudo_precision,pseudo_coverage,accepted_count,rejected_count,mean_accepted_confidence,distribution_tv,feature_centroid_drift,parameter_change,training_loss,buffer_size,buffer_replaced,buffer_total_seen,batch_seconds
svhn,-1,ewc,2,0.12088967424708051,,,0,0,,0.0,0.0,0.0,,0,0,0,0.0
svhn,0,ewc,2,0.12088967424708051,,0.0,0,256,,0.0,0.16416782960295678,0.0,,0,0,0,11.248160583999997
svhn,1,ewc,2,0.12088967424708051,,0.0,0,256,,0.0,0.12109103128314018,0.0,,0,0,0,11.162662875000002
svhn,2,ewc,2,0.12088967424708051,,0.0,0,256,,0.62109375,0.17312502562999726,0.0,,0,0,0,11.168850666999994
svhn,3,ewc,2,0.12088967424708051,,0.0,0,256,,0.0,0.16709608733654022,0.0,,0,0,0,11.196819917
svhn,4,ewc,2,0.12088967424708051,,0.0,0,256,,0.62109375,0.14634074419736862,0.0,,0,0,0,11.214922416999997
svhn,5,ewc,2,0.12088967424708051,,0.0,0,256,,0.0,0.12460313849151135,0.0,,0,0,0,11.200419374999996
svhn,6,ewc,2,0.12088967424708051,,0.0,0,256,,0.625,0.15461998917162417,0.0,,0,0,0,11.204756915999994
svhn,7,ewc,2,0.12088967424708051,,0.0,0,256,,0.0,0.11610013283789158,0.0,,0,0,0,11.197021125000006
svhn,8,ewc,2,0.12088967424708051,,0.0,0,256,,0.62890625,0.13862809389829636,0.0,,0,0,0,11.166718458999995
svhn,9,ewc,2,0.12088967424708051,,0.0,0,256,,0.0,0.1807749643921852,0.0,,0,0,0,11.156258750000006
svhn,10,ewc,2,0.12088967424708051,,0.0,0,256,,0.62890625,0.11981663443148136,0.0,,0,0,0,11.192572499999983
svhn,11,ewc,2,0.12088967424708051,,0.0,0,256,,0.62109375,0.1272475268691778,0.0,,0,0,0,11.169900583000015
svhn,12,ewc,2,0.12088967424708051,,0.0,0,256,,0.62109375,0.1763162650167942,0.0,,0,0,0,11.193520499999977
svhn,13,ewc,2,0.12088967424708051,,0.0,0,256,,0.625,0.1431438222527504,0.0,,0,0,0,11.181729500000017
svhn,14,ewc,2,0.12088967424708051,,0.0,0,256,,0.625,0.14784793220460415,0.0,,0,0,0,11.206914874999995
svhn,15,ewc,2,0.12088967424708051,,0.0,0,256,,0.625,0.19726202450692654,0.0,,0,0,0,11.25989337499999
svhn,16,ewc,2,0.12088967424708051,,0.0,0,256,,0.625,0.18414324298501014,0.0,,0,0,0,11.351946999999996
svhn,17,ewc,2,0.12088967424708051,,0.0,0,256,,0.62109375,0.13978880532085897,0.0,,0,0,0,11.243087625000015
svhn,18,ewc,2,0.12088967424708051,,0.0,0,256,,0.625,0.14428775385022163,0.0,,0,0,0,11.233080625000014
svhn,19,ewc,2,0.12088967424708051,,0.0,0,256,,0.62890625,0.0879540203139186,0.0,,0,0,0,11.362102708000009
