batch,task_0_accuracy,task_1_accuracy,task_2_accuracy,task_3_accuracy,task_4_accuracy
-1,0.446,0.295,0.118,0.284,0.348
0,0.446,0.295,0.118,0.284,0.348
1,0.446,0.295,0.118,0.284,0.348
2,0.446,0.295,0.118,0.284,0.348
3,0.446,0.295,0.118,0.284,0.348
4,0.446,0.295,0.118,0.284,0.348
5,0.446,0.295,0.118,0.284,0.348
6,0.446,0.295,0.118,0.284,0.348
7,0.446,0.295,0.118,0.284,0.348
8,0.446,0.295,0.118,0.284,0.348
9,0.446,0.295,0.118,0.284,0.348
10,0.446,0.295,0.118,0.284,0.348
11,0.446,0.295,0.118,0.284,0.348
12,0.446,0.295,0.118,0.284,0.348
13,0.446,0.295,0.118,0.284,0.348
14,0.446,0.295,0.118,0.284,0.348
15,0.446,0.295,0.118,0.284,0.348
16,0.446,0.295,0.118,0.284,0.348
17,0.446,0.295,0.118,0.284,0.348
18,0.446,0.295,0.118,0.284,0.348
19,0.446,0.295,0.118,0.284,0.348
