batch,task_0_accuracy,task_1_accuracy,task_2_accuracy,task_3_accuracy,task_4_accuracy
-1,0.3845,0.0465,0.496,0.222,0.3505
0,0.3845,0.0465,0.496,0.222,0.3505
1,0.3845,0.0465,0.496,0.222,0.3505
2,0.3845,0.0465,0.496,0.222,0.3505
3,0.3845,0.0465,0.496,0.222,0.3505
4,0.3845,0.0465,0.496,0.222,0.3505
5,0.3845,0.0465,0.496,0.222,0.3505
6,0.3845,0.0465,0.496,0.222,0.3505
7,0.3845,0.0465,0.496,0.222,0.3505
8,0.3845,0.0465,0.496,0.222,0.3505
9,0.3845,0.0465,0.496,0.222,0.3505
10,0.3845,0.0465,0.496,0.222,0.3505
11,0.3845,0.0465,0.496,0.222,0.3505
12,0.3845,0.0465,0.496,0.222,0.3505
13,0.3845,0.0465,0.496,0.222,0.3505
14,0.3845,0.0465,0.496,0.222,0.3505
15,0.3845,0.0465,0.496,0.222,0.3505
16,0.3845,0.0465,0.496,0.222,0.3505
17,0.3845,0.0465,0.496,0.222,0.3505
18,0.3845,0.0465,0.496,0.222,0.3505
19,0.3845,0.0465,0.496,0.222,0.3505
