batch,task_0_accuracy,task_1_accuracy,task_2_accuracy,task_3_accuracy,task_4_accuracy
-1,0.3655,0.032,0.1985,0.456,0.509
0,0.3655,0.032,0.1985,0.456,0.509
1,0.3655,0.032,0.1985,0.456,0.509
2,0.3655,0.032,0.1985,0.456,0.509
3,0.3655,0.032,0.1985,0.456,0.509
4,0.3655,0.032,0.1985,0.456,0.509
5,0.3655,0.032,0.1985,0.456,0.509
6,0.3655,0.032,0.1985,0.456,0.509
7,0.3655,0.032,0.1985,0.456,0.509
8,0.3655,0.032,0.1985,0.456,0.509
9,0.3655,0.032,0.1985,0.456,0.509
10,0.3655,0.032,0.1985,0.456,0.509
11,0.3655,0.032,0.1985,0.456,0.509
12,0.3655,0.032,0.1985,0.456,0.509
13,0.3655,0.032,0.1985,0.456,0.509
14,0.3655,0.032,0.1985,0.456,0.509
15,0.3655,0.032,0.1985,0.456,0.509
16,0.3655,0.032,0.1985,0.456,0.509
17,0.3655,0.032,0.1985,0.456,0.509
18,0.3655,0.032,0.1985,0.456,0.509
19,0.3655,0.032,0.1985,0.456,0.509
