batch,task_0_accuracy,task_1_accuracy,task_2_accuracy,task_3_accuracy,task_4_accuracy
-1,0.8595744680851064,0.5675808031341821,0.5261472785485592,0.4038267875125881,0.38729198184568836
0,0.8349881796690307,0.4828599412340842,0.5544290288153682,0.6112789526686808,0.34896621280887546
1,0.5810874704491725,0.10969637610186092,0.240128068303095,0.2719033232628399,0.0453857791225416
2,0.5399527186761229,0.02595494613124388,0.10138740661686232,0.07754279959718026,0.0070600100857286935
3,0.5366430260047281,0.0,0.019743863393810034,0.008559919436052367,0.0
4,0.5366430260047281,0.0,0.0,0.0,0.0
5,0.5366430260047281,0.0,0.0,0.0,0.0
6,0.5366430260047281,0.0,0.0,0.0,0.0
7,0.5366430260047281,0.0,0.0,0.0,0.0
8,0.5366430260047281,0.0,0.0,0.0,0.0
9,0.5366430260047281,0.0,0.0,0.0,0.0
10,0.5366430260047281,0.0,0.0,0.0,0.0
11,0.5366430260047281,0.0,0.0,0.0,0.0
12,0.5366430260047281,0.0,0.0,0.0,0.0
13,0.5366430260047281,0.0,0.0,0.0,0.0
14,0.5366430260047281,0.0,0.0,0.0,0.0
15,0.5366430260047281,0.0,0.0,0.0,0.0
16,0.5366430260047281,0.0,0.0,0.0,0.0
17,0.5366430260047281,0.0,0.0,0.0,0.0
18,0.5366430260047281,0.0,0.0,0.0,0.0
19,0.5366430260047281,0.0,0.0,0.0,0.0
