batch,task_0_accuracy,task_1_accuracy,task_2_accuracy,task_3_accuracy,task_4_accuracy
-1,0.724822695035461,0.46474045053868757,0.2678762006403415,0.32275931520644513,0.6116994452849218
0,0.7446808510638298,0.376101860920666,0.5458911419423693,0.5861027190332326,0.7413010590015129
1,0.5423167848699764,0.01028403525954946,0.2913553895410886,0.2311178247734139,0.07665153807362582
2,0.5356973995271868,0.0,0.08057630736392743,0.06747230614300101,0.0015128593040847202
3,0.5366430260047281,0.0,0.0016008537886872999,0.010070493454179255,0.0
4,0.5366430260047281,0.0,0.0,0.0,0.0
5,0.5366430260047281,0.0,0.0,0.0,0.0
6,0.5366430260047281,0.0,0.0,0.0,0.0
7,0.5366430260047281,0.0,0.0,0.0,0.0
8,0.5366430260047281,0.0,0.0,0.0,0.0
9,0.5366430260047281,0.0,0.0,0.0,0.0
10,0.5366430260047281,0.0,0.0,0.0,0.0
11,0.5366430260047281,0.0,0.0,0.0,0.0
12,0.5366430260047281,0.0,0.0,0.0,0.0
13,0.5366430260047281,0.0,0.0,0.0,0.0
14,0.5366430260047281,0.0,0.0,0.0,0.0
15,0.5366430260047281,0.0,0.0,0.0,0.0
16,0.5366430260047281,0.0,0.0,0.0,0.0
17,0.5366430260047281,0.0,0.0,0.0,0.0
18,0.5366430260047281,0.0,0.0,0.0,0.0
19,0.5366430260047281,0.0,0.0,0.0,0.0
