method,dataset,batch,test_accuracy,forgetting_from_initial,pseudo_kept,pseudo_total,pseudo_keep_rate,pseudo_precision,mean_confidence,buffer_size,buffer_dropped,seconds
offline,MNIST,0,0.3966,0.0,0,0,0.0,0.0,0.0,0,0,1.18
naive,MNIST,0,0.4317,0.0,0,0,0.0,0.0,0.0,0,0,1.1
naive,MNIST,1,0.4317,0.0,0,5900,0.0,0.0,0.18233481661242953,0,0,2.69
naive,MNIST,2,0.4317,0.0,0,5900,0.0,0.0,0.18189067511108972,0,0,4.29
naive,MNIST,3,0.4317,0.0,0,5900,0.0,0.0,0.1812795468760749,0,0,5.94
naive,MNIST,4,0.4317,0.0,0,5900,0.0,0.0,0.18299419743150977,0,0,7.66
naive,MNIST,5,0.4317,0.0,0,5900,0.0,0.0,0.18086731284477953,0,0,9.38
naive,MNIST,6,0.4317,0.0,0,5900,0.0,0.0,0.18235982756114613,0,0,11.07
naive,MNIST,7,0.4317,0.0,0,5900,0.0,0.0,0.18173838405412132,0,0,12.78
naive,MNIST,8,0.4317,0.0,0,5900,0.0,0.0,0.1814639630484379,0,0,14.47
naive,MNIST,9,0.4317,0.0,0,5900,0.0,0.0,0.18136812058545776,0,0,16.12
naive,MNIST,10,0.4317,0.0,0,5900,0.0,0.0,0.18057759265525866,0,0,17.76
replay,MNIST,0,0.4037,0.0,0,0,0.0,0.0,0.0,0,0,1.2
replay,MNIST,1,0.4037,0.0,0,5900,0.0,0.0,0.18745228321875557,0,0,2.85
replay,MNIST,2,0.4037,0.0,0,5900,0.0,0.0,0.18790006344348698,0,0,4.48
replay,MNIST,3,0.4037,0.0,0,5900,0.0,0.0,0.18747207703226704,0,0,6.11
replay,MNIST,4,0.4037,0.0,0,5900,0.0,0.0,0.1865985546501006,0,0,7.75
replay,MNIST,5,0.4037,0.0,0,5900,0.0,0.0,0.18720072141011893,0,0,9.4
replay,MNIST,6,0.4037,0.0,0,5900,0.0,0.0,0.18746327377982058,0,0,11.05
replay,MNIST,7,0.4037,0.0,0,5900,0.0,0.0,0.1869206312096725,0,0,12.76
replay,MNIST,8,0.4037,0.0,0,5900,0.0,0.0,0.18657888737270387,0,0,14.48
replay,MNIST,9,0.4037,0.0,0,5900,0.0,0.0,0.18631670016605975,0,0,16.22
replay,MNIST,10,0.4037,0.0,0,5900,0.0,0.0,0.18736139284352124,0,0,17.97
ewc,MNIST,0,0.4467,0.0,0,0,0.0,0.0,0.0,0,0,1.44
ewc,MNIST,1,0.4467,0.0,0,5900,0.0,0.0,0.2796227189267086,0,0,3.15
ewc,MNIST,2,0.4467,0.0,0,5900,0.0,0.0,0.2779195375222776,0,0,4.87
ewc,MNIST,3,0.4467,0.0,0,5900,0.0,0.0,0.2788138304600271,0,0,6.58
ewc,MNIST,4,0.4467,0.0,0,5900,0.0,0.0,0.2823236962849811,0,0,8.28
ewc,MNIST,5,0.4467,0.0,0,5900,0.0,0.0,0.27769844965156865,0,0,10.0
ewc,MNIST,6,0.4467,0.0,0,5900,0.0,0.0,0.27979862595513716,0,0,11.73
ewc,MNIST,7,0.4467,0.0,0,5900,0.0,0.0,0.27801076072126124,0,0,13.46
ewc,MNIST,8,0.4467,0.0,0,5900,0.0,0.0,0.2815548170294802,0,0,15.19
ewc,MNIST,9,0.4467,0.0,0,5900,0.0,0.0,0.2812350122971555,0,0,16.9
ewc,MNIST,10,0.4467,0.0,0,5900,0.0,0.0,0.27914840038550104,0,0,18.61
