dataset,method,seed,initial_accuracy,final_accuracy,mean_stream_accuracy,classwise_forgetting,average_incremental_accuracy,backward_transfer_proxy,mean_pseudo_precision,mean_pseudo_coverage,mean_distribution_tv,mean_feature_centroid_drift,mean_parameter_change,mean_batch_seconds,total_seconds,final_buffer_size,ewc_lambda,threshold,fisher_mean,fisher_max
cifar10,offline,0,0.3988,0.3988,0.39879999999999993,0.0,0.39880000000000004,0.0,,,0.41629464285714285,0.1253150365537121,0.0,2.7197634417499996,64.459446708,0,50.0,0.9,,
cifar10,offline,1,0.4042,0.4042,0.40420000000000006,0.0,0.4042,0.0,,,0.41629464285714285,0.1358397608179422,0.0,2.76678827495,60.058819875,0,50.0,0.9,,
cifar10,offline,2,0.4228,0.4228,0.42279999999999995,0.0,0.4228,0.0,,,0.41629464285714285,0.147992765424507,0.0,2.80045812715,60.729328917,0,50.0,0.9,,
cifar10,offline,3,0.4082,0.4082,0.4082,0.0,0.40820000000000006,0.0,,,0.41629464285714285,0.14446564361098263,0.0,2.77537420405,60.196649125,0,50.0,0.9,,
cifar10,offline,4,0.4229,0.4229,0.4229,0.0,0.42290000000000005,0.0,,,0.41629464285714285,0.14213408260118396,0.0,2.7187092978999994,59.278453458,0,50.0,0.9,,
cifar10,proposed,0,0.3988,0.3988,0.39879999999999993,0.0,0.39880000000000004,0.0,,0.0,0.41629464285714285,0.1253150365537121,0.0,2.72872501665,63.1310405,0,50.0,0.9,0.004354176111519337,5.002665042877197
cifar10,proposed,1,0.4042,0.4042,0.40420000000000006,0.0,0.4042,0.0,,0.0,0.41629464285714285,0.1358397608179422,0.0,2.8250730520999987,68.026738333,0,50.0,0.9,0.005966396536678076,21.946670532226562
cifar10,proposed,2,0.4228,0.4228,0.42279999999999995,0.0,0.4228,0.0,,0.0,0.41629464285714285,0.147992765424507,0.0,2.752531693700001,63.751015625,0,50.0,0.9,0.004634168464690447,7.568655014038086
cifar10,proposed,3,0.4082,0.4082,0.4082,0.0,0.40820000000000006,0.0,,0.0,0.41629464285714285,0.14446564361098263,0.0,2.745517864649999,63.510933042000005,0,50.0,0.9,0.0050661382265388966,8.543206214904785
cifar10,proposed,4,0.4229,0.4229,0.4229,0.0,0.42290000000000005,0.0,,0.0,0.41629464285714285,0.14213408260118396,0.0,2.7489268459000002,63.527382958,0,50.0,0.9,0.006306705065071583,12.243884086608887
