batch,class_0_accuracy,class_1_accuracy,class_2_accuracy,class_3_accuracy,class_4_accuracy,class_5_accuracy,class_6_accuracy,class_7_accuracy,class_8_accuracy,class_9_accuracy
-1,0.428,0.553,0.114,0.56,0.561,0.199,0.241,0.39,0.731,0.211
0,0.428,0.553,0.114,0.56,0.561,0.199,0.241,0.39,0.731,0.211
1,0.428,0.553,0.114,0.56,0.561,0.199,0.241,0.39,0.731,0.211
2,0.428,0.553,0.114,0.56,0.561,0.199,0.241,0.39,0.731,0.211
3,0.428,0.553,0.114,0.56,0.561,0.199,0.241,0.39,0.731,0.211
4,0.428,0.553,0.114,0.56,0.561,0.199,0.241,0.39,0.731,0.211
5,0.428,0.553,0.114,0.56,0.561,0.199,0.241,0.39,0.731,0.211
6,0.428,0.553,0.114,0.56,0.561,0.199,0.241,0.39,0.731,0.211
7,0.428,0.553,0.114,0.56,0.561,0.199,0.241,0.39,0.731,0.211
8,0.428,0.553,0.114,0.56,0.561,0.199,0.241,0.39,0.731,0.211
9,0.428,0.553,0.114,0.56,0.561,0.199,0.241,0.39,0.731,0.211
10,0.428,0.553,0.114,0.56,0.561,0.199,0.241,0.39,0.731,0.211
11,0.428,0.553,0.114,0.56,0.561,0.199,0.241,0.39,0.731,0.211
12,0.428,0.553,0.114,0.56,0.561,0.199,0.241,0.39,0.731,0.211
13,0.428,0.553,0.114,0.56,0.561,0.199,0.241,0.39,0.731,0.211
14,0.428,0.553,0.114,0.56,0.561,0.199,0.241,0.39,0.731,0.211
15,0.428,0.553,0.114,0.56,0.561,0.199,0.241,0.39,0.731,0.211
16,0.428,0.553,0.114,0.56,0.561,0.199,0.241,0.39,0.731,0.211
17,0.428,0.553,0.114,0.56,0.561,0.199,0.241,0.39,0.731,0.211
18,0.428,0.553,0.114,0.56,0.561,0.199,0.241,0.39,0.731,0.211
19,0.428,0.553,0.114,0.56,0.561,0.199,0.241,0.39,0.731,0.211
