batch,class_0_accuracy,class_1_accuracy,class_2_accuracy,class_3_accuracy,class_4_accuracy,class_5_accuracy,class_6_accuracy,class_7_accuracy,class_8_accuracy,class_9_accuracy
-1,0.395,0.517,0.126,0.243,0.153,0.574,0.419,0.643,0.54,0.472
0,0.395,0.517,0.126,0.243,0.153,0.574,0.419,0.643,0.54,0.472
1,0.395,0.517,0.126,0.243,0.153,0.574,0.419,0.643,0.54,0.472
2,0.395,0.517,0.126,0.243,0.153,0.574,0.419,0.643,0.54,0.472
3,0.395,0.517,0.126,0.243,0.153,0.574,0.419,0.643,0.54,0.472
4,0.395,0.517,0.126,0.243,0.153,0.574,0.419,0.643,0.54,0.472
5,0.395,0.517,0.126,0.243,0.153,0.574,0.419,0.643,0.54,0.472
6,0.395,0.517,0.126,0.243,0.153,0.574,0.419,0.643,0.54,0.472
7,0.395,0.517,0.126,0.243,0.153,0.574,0.419,0.643,0.54,0.472
8,0.395,0.517,0.126,0.243,0.153,0.574,0.419,0.643,0.54,0.472
9,0.395,0.517,0.126,0.243,0.153,0.574,0.419,0.643,0.54,0.472
10,0.395,0.517,0.126,0.243,0.153,0.574,0.419,0.643,0.54,0.472
11,0.395,0.517,0.126,0.243,0.153,0.574,0.419,0.643,0.54,0.472
12,0.395,0.517,0.126,0.243,0.153,0.574,0.419,0.643,0.54,0.472
13,0.395,0.517,0.126,0.243,0.153,0.574,0.419,0.643,0.54,0.472
14,0.395,0.517,0.126,0.243,0.153,0.574,0.419,0.643,0.54,0.472
15,0.395,0.517,0.126,0.243,0.153,0.574,0.419,0.643,0.54,0.472
16,0.395,0.517,0.126,0.243,0.153,0.574,0.419,0.643,0.54,0.472
17,0.395,0.517,0.126,0.243,0.153,0.574,0.419,0.643,0.54,0.472
18,0.395,0.517,0.126,0.243,0.153,0.574,0.419,0.643,0.54,0.472
19,0.395,0.517,0.126,0.243,0.153,0.574,0.419,0.643,0.54,0.472
