dataset,method,seed,returncode
mnist,offline,0,1
mnist,offline,1,1
mnist,offline,2,1
mnist,offline,3,1
mnist,offline,4,1
mnist,naive,0,1
mnist,naive,1,1
mnist,naive,2,1
mnist,naive,3,1
mnist,naive,4,1
mnist,replay,0,1
mnist,replay,1,1
mnist,replay,2,1
mnist,replay,3,1
mnist,replay,4,1
mnist,ewc,0,1
mnist,ewc,1,1
mnist,ewc,2,1
mnist,ewc,3,1
mnist,ewc,4,1
mnist,proposed,0,1
mnist,proposed,1,1
mnist,proposed,2,1
mnist,proposed,3,1
mnist,proposed,4,1
cifar10,naive,0,1
cifar10,naive,1,1
cifar10,naive,2,1
cifar10,naive,3,1
cifar10,naive,4,1
cifar10,replay,0,1
cifar10,replay,1,1
cifar10,replay,2,1
cifar10,replay,3,1
cifar10,replay,4,1
cifar10,ewc,0,1
cifar10,ewc,1,1
cifar10,ewc,2,1
cifar10,ewc,3,1
cifar10,ewc,4,1
svhn,offline,0,1
svhn,offline,1,1
svhn,offline,2,1
svhn,offline,3,1
svhn,offline,4,1
svhn,naive,0,1
svhn,naive,1,1
svhn,naive,2,1
svhn,naive,3,1
svhn,naive,4,1
svhn,replay,0,1
svhn,replay,1,1
svhn,replay,2,1
svhn,replay,3,1
svhn,replay,4,1
svhn,ewc,0,1
svhn,ewc,1,1
svhn,ewc,2,1
svhn,ewc,3,1
svhn,ewc,4,1
svhn,proposed,0,1
svhn,proposed,1,1
svhn,proposed,2,1
svhn,proposed,3,1
svhn,proposed,4,1
