dataset,batch,method,seed,test_accuracy,pseudo_precision,pseudo_coverage,agreement,accepted_count,rejected_count,mean_accepted_confidence,distribution_tv,feature_centroid_drift,parameter_change,training_loss,buffer_size,buffer_replaced,buffer_total_seen,batch_seconds
cifar10,-1,offline,3,0.4082,,,,0,0,,0.0,0.0,0.0,,0,0,0,0.0
cifar10,0,offline,3,0.4082,,,,0,0,,0.0,0.16769798919558526,0.0,,0,0,0,2.7325162500000006
cifar10,1,offline,3,0.4082,,,,0,0,,0.0,0.14831676557660103,0.0,,0,0,0,2.733017791
cifar10,2,offline,3,0.4082,,,,0,0,,0.62109375,0.14922932237386705,0.0,,0,0,0,2.7360978330000005
cifar10,3,offline,3,0.4082,,,,0,0,,0.0,0.1226501666009426,0.0,,0,0,0,2.738747458999999
cifar10,4,offline,3,0.4082,,,,0,0,,0.62109375,0.15379395186901093,0.0,,0,0,0,2.728766041
cifar10,5,offline,3,0.4082,,,,0,0,,0.0,0.15018615126609802,0.0,,0,0,0,2.7154310000000024
cifar10,6,offline,3,0.4082,,,,0,0,,0.625,0.1477694146335125,0.0,,0,0,0,2.725509583000001
cifar10,7,offline,3,0.4082,,,,0,0,,0.0,0.1808604434132576,0.0,,0,0,0,2.7052250419999986
cifar10,8,offline,3,0.4082,,,,0,0,,0.62890625,0.15540666952729226,0.0,,0,0,0,2.724821375000001
cifar10,9,offline,3,0.4082,,,,0,0,,0.0,0.14775468930602073,0.0,,0,0,0,2.744059083
cifar10,10,offline,3,0.4082,,,,0,0,,0.62890625,0.17207031175494195,0.0,,0,0,0,2.7417130830000005
cifar10,11,offline,3,0.4082,,,,0,0,,0.62109375,0.16158327758312224,0.0,,0,0,0,2.8424539999999965
cifar10,12,offline,3,0.4082,,,,0,0,,0.62109375,0.15394774116575718,0.0,,0,0,0,3.0428223329999966
cifar10,13,offline,3,0.4082,,,,0,0,,0.625,0.12077398113906383,0.0,,0,0,0,2.9671584159999966
cifar10,14,offline,3,0.4082,,,,0,0,,0.625,0.14985281601548195,0.0,,0,0,0,2.8380024169999984
cifar10,15,offline,3,0.4082,,,,0,0,,0.625,0.1376471921801567,0.0,,0,0,0,2.8077913750000008
cifar10,16,offline,3,0.4082,,,,0,0,,0.625,0.15269440785050392,0.0,,0,0,0,2.760404416
cifar10,17,offline,3,0.4082,,,,0,0,,0.62109375,0.165945715457201,0.0,,0,0,0,2.7856230420000045
cifar10,18,offline,3,0.4082,,,,0,0,,0.625,0.1444803636521101,0.0,,0,0,0,2.7208450419999934
cifar10,19,offline,3,0.4082,,,,0,0,,0.62890625,0.15111714527010917,0.0,,0,0,0,2.716478500000001
