dataset,batch,method,seed,test_accuracy,pseudo_precision,pseudo_coverage,agreement,accepted_count,rejected_count,mean_accepted_confidence,distribution_tv,feature_centroid_drift,parameter_change,training_loss,buffer_size,buffer_replaced,buffer_total_seen,batch_seconds
cifar10,-1,proposed,3,0.4082,,,,0,0,,0.0,0.0,0.0,,0,0,0,0.0
cifar10,0,proposed,3,0.4082,,0.0,0.734375,0,256,,0.0,0.16769798919558526,0.0,,0,0,0,2.743572792
cifar10,1,proposed,3,0.4082,,0.0,0.7421875,0,256,,0.0,0.14831676557660103,0.0,,0,0,0,2.7253852500000004
cifar10,2,proposed,3,0.4082,,0.0,0.61328125,0,256,,0.62109375,0.14922932237386705,0.0,,0,0,0,2.7196697499999978
cifar10,3,proposed,3,0.4082,,0.0,0.6875,0,256,,0.0,0.1226501666009426,0.0,,0,0,0,2.7278290419999998
cifar10,4,proposed,3,0.4082,,0.0,0.69140625,0,256,,0.62109375,0.15379395186901093,0.0,,0,0,0,2.747126374999997
cifar10,5,proposed,3,0.4082,,0.0,0.66796875,0,256,,0.0,0.15018615126609802,0.0,,0,0,0,2.746332749999997
cifar10,6,proposed,3,0.4082,,0.0,0.73046875,0,256,,0.625,0.1477694146335125,0.0,,0,0,0,2.7428304580000002
cifar10,7,proposed,3,0.4082,,0.0,0.71484375,0,256,,0.0,0.1808604434132576,0.0,,0,0,0,2.748353792000003
cifar10,8,proposed,3,0.4082,,0.0,0.71875,0,256,,0.62890625,0.15540666952729226,0.0,,0,0,0,2.7482177079999985
cifar10,9,proposed,3,0.4082,,0.0,0.70703125,0,256,,0.0,0.14775468930602073,0.0,,0,0,0,2.7357910419999953
cifar10,10,proposed,3,0.4082,,0.0,0.7265625,0,256,,0.62890625,0.17207031175494195,0.0,,0,0,0,2.751490750000002
cifar10,11,proposed,3,0.4082,,0.0,0.63671875,0,256,,0.62109375,0.16158327758312224,0.0,,0,0,0,2.736331665999998
cifar10,12,proposed,3,0.4082,,0.0,0.6484375,0,256,,0.62109375,0.15394774116575718,0.0,,0,0,0,2.7554700839999953
cifar10,13,proposed,3,0.4082,,0.0,0.6875,0,256,,0.625,0.12077398113906383,0.0,,0,0,0,2.749052708999997
cifar10,14,proposed,3,0.4082,,0.0,0.7421875,0,256,,0.625,0.14985281601548195,0.0,,0,0,0,2.7704365410000023
cifar10,15,proposed,3,0.4082,,0.0,0.71484375,0,256,,0.625,0.1376471921801567,0.0,,0,0,0,2.7456006250000016
cifar10,16,proposed,3,0.4082,,0.0,0.6640625,0,256,,0.625,0.15269440785050392,0.0,,0,0,0,2.7587168749999975
cifar10,17,proposed,3,0.4082,,0.0,0.6484375,0,256,,0.62109375,0.165945715457201,0.0,,0,0,0,2.751639292
cifar10,18,proposed,3,0.4082,,0.0,0.703125,0,256,,0.625,0.1444803636521101,0.0,,0,0,0,2.7425338339999996
cifar10,19,proposed,3,0.4082,,0.0,0.734375,0,256,,0.62890625,0.15111714527010917,0.0,,0,0,0,2.763975957999996
