batch,task_0_accuracy,task_1_accuracy,task_2_accuracy,task_3_accuracy,task_4_accuracy
-1,0.4905,0.337,0.38,0.3155,0.471
0,0.4905,0.337,0.38,0.3155,0.471
1,0.4905,0.337,0.38,0.3155,0.471
2,0.4905,0.337,0.38,0.3155,0.471
3,0.4905,0.337,0.38,0.3155,0.471
4,0.4905,0.337,0.38,0.3155,0.471
5,0.4905,0.337,0.38,0.3155,0.471
6,0.4905,0.337,0.38,0.3155,0.471
7,0.4905,0.337,0.38,0.3155,0.471
8,0.4905,0.337,0.38,0.3155,0.471
9,0.4905,0.337,0.38,0.3155,0.471
10,0.4905,0.337,0.38,0.3155,0.471
11,0.4905,0.337,0.38,0.3155,0.471
12,0.4905,0.337,0.38,0.3155,0.471
13,0.4905,0.337,0.38,0.3155,0.471
14,0.4905,0.337,0.38,0.3155,0.471
15,0.4905,0.337,0.38,0.3155,0.471
16,0.4905,0.337,0.38,0.3155,0.471
17,0.4905,0.337,0.38,0.3155,0.471
18,0.4905,0.337,0.38,0.3155,0.471
19,0.4905,0.337,0.38,0.3155,0.471
