batch,task_0_accuracy,task_1_accuracy,task_2_accuracy,task_3_accuracy,task_4_accuracy
-1,0.543,0.182,0.495,0.2805,0.5205
0,0.543,0.182,0.495,0.2805,0.5205
1,0.543,0.182,0.495,0.2805,0.5205
2,0.543,0.182,0.495,0.2805,0.5205
3,0.543,0.182,0.495,0.2805,0.5205
4,0.543,0.182,0.495,0.2805,0.5205
5,0.543,0.182,0.495,0.2805,0.5205
6,0.543,0.182,0.495,0.2805,0.5205
7,0.543,0.182,0.495,0.2805,0.5205
8,0.543,0.182,0.495,0.2805,0.5205
9,0.543,0.182,0.495,0.2805,0.5205
10,0.543,0.182,0.495,0.2805,0.5205
11,0.543,0.182,0.495,0.2805,0.5205
12,0.543,0.182,0.495,0.2805,0.5205
13,0.543,0.182,0.495,0.2805,0.5205
14,0.543,0.182,0.495,0.2805,0.5205
15,0.543,0.182,0.495,0.2805,0.5205
16,0.543,0.182,0.495,0.2805,0.5205
17,0.543,0.182,0.495,0.2805,0.5205
18,0.543,0.182,0.495,0.2805,0.5205
19,0.543,0.182,0.495,0.2805,0.5205
