dataset,method,initial_accuracy_mean,initial_accuracy_std,initial_accuracy_count,final_accuracy_mean,final_accuracy_std,final_accuracy_count,mean_stream_accuracy_mean,mean_stream_accuracy_std,mean_stream_accuracy_count,classwise_forgetting_mean,classwise_forgetting_std,classwise_forgetting_count,average_incremental_accuracy_mean,average_incremental_accuracy_std,average_incremental_accuracy_count,backward_transfer_proxy_mean,backward_transfer_proxy_std,backward_transfer_proxy_count,mean_pseudo_precision_mean,mean_pseudo_precision_std,mean_pseudo_precision_count,mean_pseudo_coverage_mean,mean_pseudo_coverage_std,mean_pseudo_coverage_count,mean_parameter_change_mean,mean_parameter_change_std,mean_parameter_change_count,mean_batch_seconds_mean,mean_batch_seconds_std,mean_batch_seconds_count,total_seconds_mean,total_seconds_std,total_seconds_count
cifar10,offline,0.30022000000000004,0.014077890466969816,5,0.45092,0.02625170470655192,5,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,10.4465957336,0.4316866784066135,5
cifar10,naive,0.30022000000000004,0.014077890466969816,5,0.30022000000000004,0.014077890466969816,5,0.30021999999999993,0.014077890466969766,5,0.0,0.0,5,0.30021999999999993,0.014077890466969827,5,0.0,0.0,5,,,0,0.0,0.0,5,0.0,0.0,5,4.4967670884,0.021990583999992753,5,96.6607624418,0.4532404989698832,5
cifar10,replay,0.30022000000000004,0.014077890466969816,5,0.30022000000000004,0.014077890466969816,5,0.30021999999999993,0.014077890466969766,5,0.0,0.0,5,0.30021999999999993,0.014077890466969827,5,0.0,0.0,5,,,0,0.0,0.0,5,0.0,0.0,5,4.33359973584,0.006227298335884772,5,93.2549023166,0.14450574439149086,5
cifar10,ewc,0.30022000000000004,0.014077890466969816,5,0.30022000000000004,0.014077890466969816,5,0.30021999999999993,0.014077890466969766,5,0.0,0.0,5,0.30021999999999993,0.014077890466969827,5,0.0,0.0,5,,,0,0.0,0.0,5,0.0,0.0,5,4.33490068747,0.0010640768071729031,5,97.9160460082,0.23157788773903212,5
cifar10,sdsl_full,0.29756,0.008232132166091628,5,0.3742,0.010476402054140561,5,0.341039,0.010465519815087957,5,0.08874000000000001,0.019516992596196776,5,0.33896857142857145,0.010175299446250329,5,0.07664,0.00874802834929105,5,0.309765625,0.012588189878376566,5,1.0,0.0,5,0.01080157552726767,0.00013571852364772208,5,5.64374062085,0.005140668262687901,5,119.8391123998,0.1471118523917847,5
mnist,offline,0.50552,0.16762167819229112,5,0.78694,0.3251256111105367,5,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,7.3434614832,2.0671723709269534,5
mnist,naive,0.50552,0.16762167819229112,5,0.13674,0.051966219797095106,5,0.15789800000000004,0.04045049607235983,5,0.42845219696940634,0.2408393428863662,5,0.1684937098301374,0.030556186624122277,5,-0.3706836350696153,0.2180495945738523,5,0.18901220024563373,0.01315167380961386,4,0.6631640625,0.37134735372249417,5,0.003655926867180601,0.0020651390924656793,5,3.576177985,0.010764339840954179,5,64.17189375839999,29.2809710531239,5
mnist,replay,0.50552,0.16762167819229112,5,0.13674,0.051966219797095106,5,0.15301800000000004,0.043536088851664184,5,0.42528090683154546,0.23936185042083225,5,0.16376898912359936,0.03362786920698645,5,-0.3706836350696153,0.2180495945738523,5,0.17504331092350184,0.009923325340102276,4,0.6967578125,0.390405641533785,5,0.003557682761419036,0.0020222836843633058,5,3.5854997536499993,0.046255125055383366,5,64.55288928339999,29.67127917862,5
mnist,ewc,0.50552,0.16762167819229112,5,0.13674,0.051966219797095106,5,0.15856600000000004,0.040127428181980444,5,0.42944132251621686,0.24138601793339556,5,0.16914552236210306,0.03021964642564451,5,-0.3706836350696153,0.2180495945738523,5,0.190822649654001,0.014140141186701885,4,0.66078125,0.3700541667982487,5,0.004966538791294439,0.002804889540061489,5,3.6020624833399992,0.06139710535675946,5,68.6127327836,31.32334304218903,5
mnist,sdsl_full,0.5894,0.055161172938943195,5,0.8330399999999999,0.01382797888340883,5,0.750907,0.025236268939762073,5,0.05513110347151222,0.028077986533315925,5,0.7400806408794608,0.027747682922704554,5,0.2429273650784874,0.05056213204823438,5,0.7153515625,0.030982312971129453,5,1.0,0.0,5,0.011135366883121198,0.0005499750646473856,5,4.65235631122,0.05681675205844275,5,99.0611435584,1.2627763184220693,5
svhn,offline,0.11246926859250153,0.027858038377640625,5,0.39461432083589426,0.021681159087541296,5,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,16.938635075,0.031254162932325545,5
svhn,naive,0.11246926859250153,0.027858038377640625,5,0.11246926859250153,0.027858038377640625,5,0.11246926859250153,0.02785803837764062,5,0.0,0.0,5,0.11166753589293807,0.018896634313504645,5,0.0,0.0,5,,,0,0.0,0.0,5,0.0,0.0,5,11.18661644878,0.009097101328710798,5,237.33607941680003,0.2523656430323294,5
svhn,replay,0.11246926859250153,0.027858038377640625,5,0.11246926859250153,0.027858038377640625,5,0.11246926859250153,0.02785803837764062,5,0.0,0.0,5,0.11166753589293807,0.018896634313504645,5,0.0,0.0,5,,,0,0.0,0.0,5,0.0,0.0,5,12.535318160840001,1.2488157814901524,5,265.16355535,25.80439798229099,5
svhn,ewc,0.11246926859250153,0.027858038377640625,5,0.11246926859250153,0.027858038377640625,5,0.11246926859250153,0.02785803837764062,5,0.0,0.0,5,0.11166753589293807,0.018896634313504645,5,0.0,0.0,5,,,0,0.0,0.0,5,0.0,0.0,5,11.55304823624,0.3610254249378883,5,249.6581962668,7.898097386122093,5
svhn,sdsl_full,0.10553165334972343,0.026642821547933588,5,0.165880454824831,0.0374894772979363,5,0.12986555009219422,0.02851623097829265,5,0.07647223229565843,0.02674728809483323,5,0.127345275709195,0.024434651993790538,5,0.05300549316888392,0.01821745978490677,5,0.132578125,0.022205321985120832,5,1.0,0.0,5,0.013175536346650285,0.0005781505440721679,5,13.42949390921,0.6010323779533808,5,283.0614659584,12.38622936020581,5
