dataset,method,seed,reference_type,trajectory_comparable,initial_accuracy,final_accuracy,mean_stream_accuracy,classwise_forgetting,average_incremental_accuracy,backward_transfer_proxy,mean_pseudo_precision,mean_pseudo_coverage,mean_distribution_tv,mean_feature_centroid_drift,mean_parameter_change,mean_batch_seconds,total_seconds,final_buffer_size,ewc_lambda,threshold,initial_lr,online_lr,fisher_mean,fisher_max,_source_file,offline_training_seconds,offline_epochs,offline_train_examples,mean_initial_pseudo_precision,mean_cluster_precision,mean_semantic_precision,mean_sharpness_gap,mean_flat_width,mean_projected_gradient_fraction,final_subspace_rank
cifar10,ewc,0,continual_semi_supervised,True,0.2982,0.2982,0.2981999999999999,0.0,0.2981999999999999,0.0,,0.0,0.41629464285714285,0.14702407262687173,0.0,4.3352020186499995,98.286881417,0.0,50.0,0.9,0.001,0.0005,0.0014232723042368889,0.531490683555603,summary_cifar10_ewc_seed0_lam50_thr0.9.json,,,,,,,,,,
cifar10,ewc,1,continual_semi_supervised,True,0.2999,0.2999,0.2999,0.0,0.2999,0.0,,0.0,0.41629464285714285,0.17384140109199858,0.0,4.33469133755,97.714415791,0.0,50.0,0.9,0.001,0.0005,0.0020355081651359797,0.662206768989563,summary_cifar10_ewc_seed1_lam50_thr0.9.json,,,,,,,,,,
cifar10,ewc,2,continual_semi_supervised,True,0.3127,0.3127,0.31269999999999987,0.0,0.3126999999999999,0.0,,0.0,0.41629464285714285,0.17503741066015902,0.0,4.335565820750001,97.727078541,0.0,50.0,0.9,0.001,0.0005,0.0018062405288219452,0.709537923336029,summary_cifar10_ewc_seed2_lam50_thr0.9.json,,,,,,,,,,
cifar10,ewc,3,continual_semi_supervised,True,0.2781,0.2781,0.27810000000000007,0.0,0.27809999999999996,0.0,,0.0,0.41629464285714285,0.17509277493116399,0.0,4.33587590205,97.91116825,0.0,50.0,0.9,0.001,0.0005,0.0010719348210841417,1.0028893947601318,summary_cifar10_ewc_seed3_lam50_thr0.9.json,,,,,,,,,,
cifar10,ewc,4,continual_semi_supervised,True,0.3122,0.3122,0.3121999999999999,0.0,0.3122,0.0,,0.0,0.41629464285714285,0.14754578665431056,0.0,4.33316835835,97.940686042,0.0,50.0,0.9,0.001,0.0005,0.0017528525786474347,1.09568452835083,summary_cifar10_ewc_seed4_lam50_thr0.9.json,,,,,,,,,,
cifar10,naive,0,continual_semi_supervised,True,0.2982,0.2982,0.2981999999999999,0.0,0.2981999999999999,0.0,,0.0,0.41629464285714285,0.14702407262687173,0.0,4.514457252000001,97.134665542,0.0,50.0,0.9,0.001,0.0005,,,summary_cifar10_naive_seed0_lam50_thr0.9.json,,,,,,,,,,
cifar10,naive,1,continual_semi_supervised,True,0.2999,0.2999,0.2999,0.0,0.2999,0.0,,0.0,0.41629464285714285,0.17384140109199858,0.0,4.498477202200002,96.707526667,0.0,50.0,0.9,0.001,0.0005,,,summary_cifar10_naive_seed1_lam50_thr0.9.json,,,,,,,,,,
cifar10,naive,2,continual_semi_supervised,True,0.3127,0.3127,0.31269999999999987,0.0,0.3126999999999999,0.0,,0.0,0.41629464285714285,0.17503741066015902,0.0,4.511563695849999,96.884721958,0.0,50.0,0.9,0.001,0.0005,,,summary_cifar10_naive_seed2_lam50_thr0.9.json,,,,,,,,,,
cifar10,naive,3,continual_semi_supervised,True,0.2781,0.2781,0.27810000000000007,0.0,0.27809999999999996,0.0,,0.0,0.41629464285714285,0.17509277493116399,0.0,4.499853091749998,96.654197792,0.0,50.0,0.9,0.001,0.0005,,,summary_cifar10_naive_seed3_lam50_thr0.9.json,,,,,,,,,,
cifar10,naive,4,continual_semi_supervised,True,0.3122,0.3122,0.3121999999999999,0.0,0.3122,0.0,,0.0,0.41629464285714285,0.14754578665431056,0.0,4.4594842002,95.92270025,0.0,50.0,0.9,0.001,0.0005,,,summary_cifar10_naive_seed4_lam50_thr0.9.json,,,,,,,,,,
