batch,method,seed,test_accuracy,pseudo_precision,pseudo_coverage,agreement,parameter_change,training_loss,ewc_lambda,threshold
-1,naive,0,0.9321,,,,0.0,,50.0,0.9
0,naive,0,0.9172,0.9954751133918762,0.86328125,,0.022339270563177346,0.038748021237552166,50.0,0.9
1,naive,0,0.8954,0.9862385392189026,0.8515625,,0.017890243180498994,0.026289422996342182,50.0,0.9
2,naive,0,0.8935,0.9712643623352051,0.6796875,,0.017004585701498407,0.07041661192973454,50.0,0.9
3,naive,0,0.8976,0.9746192693710327,0.76953125,,0.02878495236701629,0.03823496028780937,50.0,0.9
4,naive,0,0.8798,0.9719626307487488,0.8359375,,0.027237816736205966,0.04204512224532664,50.0,0.9
5,naive,0,0.8309,0.9910714030265808,0.875,,0.029835129339491197,0.053423683159053326,50.0,0.9
6,naive,0,0.8279,0.9502487778663635,0.78515625,,0.023533580183392883,0.032392927663750015,50.0,0.9
7,naive,0,0.8333,0.9631336331367493,0.84765625,,0.0205855071291438,0.018869084597099572,50.0,0.9
8,naive,0,0.8377,0.7709923386573792,0.51171875,,0.016041365372943706,0.049933072266867384,50.0,0.9
9,naive,0,0.8392,0.7904191613197327,0.65234375,,0.01634016435093177,0.057762451469898224,50.0,0.9
10,naive,0,0.8249,0.9545454382896423,0.859375,,0.023334591366695943,0.03196099732303992,50.0,0.9
11,naive,0,0.8198,0.931034505367279,0.79296875,,0.01925107552966196,0.0384008246473968,50.0,0.9
12,naive,0,0.8249,0.9447004795074463,0.84765625,,0.02402678355510049,0.04573871195316315,50.0,0.9
13,naive,0,0.8335,0.9519230723381042,0.8125,,0.0221088111303726,0.03250289196148515,50.0,0.9
14,naive,0,0.8372,0.949999988079071,0.859375,,0.02291635247418307,0.05818992713466287,50.0,0.9
15,naive,0,0.8407,0.75,0.75,,0.01664018407019307,0.027666973570982616,50.0,0.9
16,naive,0,0.8373,0.9677419066429138,0.84765625,,0.02140573375438178,0.028030903078615665,50.0,0.9
17,naive,0,0.8373,0.9248826503753662,0.83203125,,0.020322077142331408,0.025951434625312686,50.0,0.9
18,naive,0,0.8342,0.917475700378418,0.8046875,,0.016439117058621354,0.047977833077311516,50.0,0.9
19,naive,0,0.8159,0.6912442445755005,0.84765625,,0.02132755866455092,0.03299958910793066,50.0,0.9
