batch,method,seed,test_accuracy,pseudo_precision,pseudo_coverage,agreement,parameter_change,training_loss,ewc_lambda,threshold
-1,centroid_ewc,2,0.932,,,,0.0,,50.0,0.9
0,centroid_ewc,2,0.932,,0.0,0.98828125,0.0,,50.0,0.9
1,centroid_ewc,2,0.932,,0.0,0.98046875,0.0,,50.0,0.9
2,centroid_ewc,2,0.932,,0.0,0.95703125,0.0,,50.0,0.9
3,centroid_ewc,2,0.932,,0.0,0.93359375,0.0,,50.0,0.9
4,centroid_ewc,2,0.932,,0.0,0.95703125,0.0,,50.0,0.9
5,centroid_ewc,2,0.932,,0.0,0.97265625,0.0,,50.0,0.9
6,centroid_ewc,2,0.932,,0.0,0.9453125,0.0,,50.0,0.9
7,centroid_ewc,2,0.932,,0.0,0.96484375,0.0,,50.0,0.9
8,centroid_ewc,2,0.932,,0.0,0.95703125,0.0,,50.0,0.9
9,centroid_ewc,2,0.932,,0.0,0.9453125,0.0,,50.0,0.9
10,centroid_ewc,2,0.932,,0.0,0.953125,0.0,,50.0,0.9
11,centroid_ewc,2,0.932,,0.0,0.97265625,0.0,,50.0,0.9
12,centroid_ewc,2,0.932,,0.0,0.95703125,0.0,,50.0,0.9
13,centroid_ewc,2,0.932,,0.0,0.96484375,0.0,,50.0,0.9
14,centroid_ewc,2,0.932,,0.0,0.95703125,0.0,,50.0,0.9
15,centroid_ewc,2,0.932,,0.0,0.9609375,0.0,,50.0,0.9
16,centroid_ewc,2,0.932,,0.0,0.953125,0.0,,50.0,0.9
17,centroid_ewc,2,0.932,,0.0,0.94921875,0.0,,50.0,0.9
18,centroid_ewc,2,0.932,,0.0,0.9375,0.0,,50.0,0.9
19,centroid_ewc,2,0.932,,0.0,0.96484375,0.0,,50.0,0.9
-1,naive,3,0.9248,,,,0.0,,50.0,0.9
0,naive,3,0.9172,1.0,0.8359375,,0.026377845240119,0.0233236306812614,50.0,0.9
1,naive,3,0.8954,0.9911110997200012,0.87890625,,0.019749209382787,0.0191750286612659,50.0,0.9
2,naive,3,0.9015,0.932584285736084,0.6953125,,0.0137378677042016,0.0449394428481658,50.0,0.9
3,naive,3,0.9205,0.9494949579238892,0.7734375,,0.0212189909862735,0.0319835445698117,50.0,0.9
4,naive,3,0.9237,0.9550561904907228,0.6953125,,0.0142086237340866,0.0335700226326783,50.0,0.9
5,naive,3,0.9247,0.937198042869568,0.80859375,,0.0165367292359167,0.0296128545887768,50.0,0.9
6,naive,3,0.9313,0.9811320900917052,0.828125,,0.0180098631222145,0.042525359429419,50.0,0.9
7,naive,3,0.9275,0.9869565367698668,0.8984375,,0.0211108181201337,0.0236077201552689,50.0,0.9
8,naive,3,0.9303,0.9235668778419496,0.61328125,,0.01592548692312,0.0554825191696484,50.0,0.9
9,naive,3,0.9155,0.970588207244873,0.796875,,0.0195431875671668,0.045228672097437,50.0,0.9
10,naive,3,0.9162,0.9444444179534912,0.84375,,0.0218201544746965,0.0369831738062202,50.0,0.9
11,naive,3,0.9279,0.9441624283790588,0.76953125,,0.0232592380374466,0.0472788689658045,50.0,0.9
12,naive,3,0.9345,0.9813084006309508,0.8359375,,0.0183550896992868,0.0263183489441871,50.0,0.9
13,naive,3,0.9381,0.97183096408844,0.83203125,,0.018269217072218,0.0218540499918162,50.0,0.9
14,naive,3,0.9371,0.9822221994400024,0.87890625,,0.0139545146075908,0.0198024676647037,50.0,0.9
15,naive,3,0.9372,0.9825327396392822,0.89453125,,0.0136126527319861,0.0422468655742704,50.0,0.9
16,naive,3,0.9332,0.9767441749572754,0.83984375,,0.0193403612843603,0.0320804873481392,50.0,0.9
17,naive,3,0.935,0.9678899049758912,0.8515625,,0.0236681581644515,0.0381784127093851,50.0,0.9
18,naive,3,0.9335,0.9744681119918824,0.91796875,,0.0185289679496808,0.0247035031206905,50.0,0.9
19,naive,3,0.9327,0.9622641801834106,0.828125,,0.0164456680751605,0.0296652815304696,50.0,0.9
-1,centroid,1,0.9373,,,,0.0,,50.0,0.9
0,centroid,1,0.9373,,0.0,0.9765625,0.0,,50.0,0.9
1,centroid,1,0.9373,,0.0,0.98046875,0.0,,50.0,0.9
2,centroid,1,0.9373,,0.0,0.953125,0.0,,50.0,0.9
3,centroid,1,0.9373,,0.0,0.921875,0.0,,50.0,0.9
4,centroid,1,0.9373,,0.0,0.94140625,0.0,,50.0,0.9
5,centroid,1,0.9373,,0.0,0.953125,0.0,,50.0,0.9
6,centroid,1,0.9373,,0.0,0.96875,0.0,,50.0,0.9
7,centroid,1,0.9373,,0.0,0.9609375,0.0,,50.0,0.9
8,centroid,1,0.9373,,0.0,0.96484375,0.0,,50.0,0.9
9,centroid,1,0.9373,,0.0,0.91796875,0.0,,50.0,0.9
10,centroid,1,0.9373,,0.0,0.94921875,0.0,,50.0,0.9
11,centroid,1,0.9373,,0.0,0.97265625,0.0,,50.0,0.9
12,centroid,1,0.9373,,0.0,0.95703125,0.0,,50.0,0.9
13,centroid,1,0.9373,,0.0,0.93359375,0.0,,50.0,0.9
14,centroid,1,0.9373,,0.0,0.94140625,0.0,,50.0,0.9
15,centroid,1,0.9373,,0.0,0.96875,0.0,,50.0,0.9
16,centroid,1,0.9373,,0.0,0.96484375,0.0,,50.0,0.9
17,centroid,1,0.9373,,0.0,0.96484375,0.0,,50.0,0.9
