batch,method,seed,test_accuracy,pseudo_precision,pseudo_coverage,agreement,parameter_change,training_loss,ewc_lambda,threshold
-1,centroid,2,0.932,,,,0.0,,50.0,0.9
0,centroid,2,0.932,,0.0,0.98828125,0.0,,50.0,0.9
1,centroid,2,0.932,,0.0,0.98046875,0.0,,50.0,0.9
2,centroid,2,0.932,,0.0,0.95703125,0.0,,50.0,0.9
3,centroid,2,0.932,,0.0,0.93359375,0.0,,50.0,0.9
4,centroid,2,0.932,,0.0,0.95703125,0.0,,50.0,0.9
5,centroid,2,0.932,,0.0,0.97265625,0.0,,50.0,0.9
6,centroid,2,0.932,,0.0,0.9453125,0.0,,50.0,0.9
7,centroid,2,0.932,,0.0,0.96484375,0.0,,50.0,0.9
8,centroid,2,0.932,,0.0,0.95703125,0.0,,50.0,0.9
9,centroid,2,0.932,,0.0,0.9453125,0.0,,50.0,0.9
10,centroid,2,0.932,,0.0,0.953125,0.0,,50.0,0.9
11,centroid,2,0.932,,0.0,0.97265625,0.0,,50.0,0.9
12,centroid,2,0.932,,0.0,0.95703125,0.0,,50.0,0.9
13,centroid,2,0.932,,0.0,0.96484375,0.0,,50.0,0.9
14,centroid,2,0.932,,0.0,0.95703125,0.0,,50.0,0.9
15,centroid,2,0.932,,0.0,0.9609375,0.0,,50.0,0.9
16,centroid,2,0.932,,0.0,0.953125,0.0,,50.0,0.9
17,centroid,2,0.932,,0.0,0.94921875,0.0,,50.0,0.9
18,centroid,2,0.932,,0.0,0.9375,0.0,,50.0,0.9
19,centroid,2,0.932,,0.0,0.96484375,0.0,,50.0,0.9
