method,seed,mean_accuracy,final_accuracy,mean_precision,mean_coverage,mean_parameter_change
centroid,0,0.9320999999999999,0.9321,,0.0,0.0
centroid,1,0.9373000000000001,0.9373,,0.0,0.0
centroid,2,0.932,0.932,,0.0,0.0
centroid,3,0.9248,0.9248,,0.0,0.0
centroid,4,0.9312000000000001,0.9312,,0.0,0.0
centroid_ewc,0,0.9320999999999999,0.9321,,0.0,0.0
centroid_ewc,1,0.9373000000000001,0.9373,,0.0,0.0
centroid_ewc,2,0.932,0.932,,0.0,0.0
centroid_ewc,3,0.9248,0.9248,,0.0,0.0
centroid_ewc,4,0.9312000000000001,0.9312,,0.0,0.0
naive,0,0.84791,0.8159,0.9174486607313156,0.7962890625,0.021368244983519597
naive,1,0.9200649999999999,0.9391,0.9592444032430649,0.8177734375,0.015998636534673524
naive,2,0.874795,0.8497,0.9420419454574585,0.776171875,0.01909873320003025
naive,3,0.9256500000000001,0.9327,0.9657777905464172,0.8158203125,0.018683632205644864
naive,4,0.868355,0.7927,0.9186833620071411,0.7947265625,0.020589179671991514
