class_0_accuracy,class_1_accuracy,class_2_accuracy,class_3_accuracy,class_4_accuracy,class_5_accuracy,class_6_accuracy,class_7_accuracy,class_8_accuracy,class_9_accuracy,batch
0.515,0.459,0.099,0.109,0.112,0.238,0.659,0.07,0.463,0.268,-1
0.4,0.453,0.03,0.045,0.288,0.53,0.477,0.257,0.528,0.422,0
0.467,0.494,0.014,0.031,0.276,0.604,0.527,0.12,0.403,0.401,1
0.459,0.516,0.013,0.011,0.327,0.593,0.521,0.097,0.461,0.328,2
0.448,0.463,0.005,0.011,0.354,0.535,0.51,0.104,0.406,0.434,3
0.423,0.463,0.004,0.01,0.323,0.457,0.551,0.101,0.535,0.421,4
0.521,0.439,0.02,0.01,0.386,0.534,0.442,0.15,0.445,0.378,5
0.524,0.407,0.029,0.026,0.431,0.503,0.421,0.168,0.49,0.266,6
0.488,0.315,0.01,0.025,0.419,0.587,0.373,0.215,0.562,0.377,7
0.487,0.313,0.012,0.039,0.362,0.652,0.425,0.186,0.498,0.495,8
0.475,0.392,0.015,0.047,0.349,0.656,0.437,0.24,0.499,0.441,9
0.452,0.478,0.036,0.067,0.313,0.608,0.53,0.257,0.483,0.438,10
0.48,0.494,0.037,0.068,0.397,0.577,0.465,0.244,0.468,0.353,11
0.447,0.511,0.054,0.039,0.389,0.642,0.464,0.174,0.518,0.333,12
0.413,0.459,0.022,0.079,0.298,0.619,0.552,0.205,0.599,0.428,13
0.435,0.499,0.023,0.079,0.264,0.542,0.633,0.239,0.535,0.472,14
0.362,0.536,0.031,0.1,0.243,0.572,0.611,0.3,0.623,0.37,15
0.396,0.44,0.046,0.093,0.326,0.56,0.551,0.339,0.553,0.524,16
0.43,0.382,0.017,0.093,0.302,0.516,0.631,0.326,0.583,0.493,17
0.403,0.558,0.043,0.055,0.342,0.61,0.553,0.275,0.539,0.421,18
0.437,0.505,0.048,0.12,0.281,0.559,0.607,0.331,0.566,0.435,19
