dataset,batch,dominant_classes,total_variation_from_previous,class_0_proportion,class_1_proportion,class_2_proportion,class_3_proportion,class_4_proportion,class_5_proportion,class_6_proportion,class_7_proportion,class_8_proportion,class_9_proportion
cifar10,0,"0,1",0.0,0.34765625,0.3515625,0.0390625,0.0390625,0.0390625,0.0390625,0.0390625,0.03515625,0.03515625,0.03515625
cifar10,1,"0,1",0.0,0.34765625,0.3515625,0.0390625,0.0390625,0.0390625,0.0390625,0.0390625,0.03515625,0.03515625,0.03515625
cifar10,2,"2,3",0.62109375,0.0390625,0.0390625,0.34765625,0.3515625,0.0390625,0.0390625,0.0390625,0.03515625,0.03515625,0.03515625
cifar10,3,"2,3",0.0,0.0390625,0.0390625,0.34765625,0.3515625,0.0390625,0.0390625,0.0390625,0.03515625,0.03515625,0.03515625
cifar10,4,"4,5",0.62109375,0.0390625,0.0390625,0.0390625,0.0390625,0.34765625,0.3515625,0.0390625,0.03515625,0.03515625,0.03515625
cifar10,5,"4,5",0.0,0.0390625,0.0390625,0.0390625,0.0390625,0.34765625,0.3515625,0.0390625,0.03515625,0.03515625,0.03515625
cifar10,6,"6,7",0.625,0.0390625,0.0390625,0.0390625,0.0390625,0.0390625,0.03515625,0.34765625,0.3515625,0.03515625,0.03515625
cifar10,7,"6,7",0.0,0.0390625,0.0390625,0.0390625,0.0390625,0.0390625,0.03515625,0.34765625,0.3515625,0.03515625,0.03515625
cifar10,8,"8,9",0.62890625,0.0390625,0.0390625,0.0390625,0.0390625,0.0390625,0.03515625,0.03515625,0.03515625,0.34765625,0.3515625
cifar10,9,"8,9",0.0,0.0390625,0.0390625,0.0390625,0.0390625,0.0390625,0.03515625,0.03515625,0.03515625,0.34765625,0.3515625
cifar10,10,"0,2",0.62890625,0.34765625,0.0390625,0.3515625,0.0390625,0.0390625,0.0390625,0.0390625,0.03515625,0.03515625,0.03515625
cifar10,11,"1,3",0.62109375,0.0390625,0.34765625,0.0390625,0.3515625,0.0390625,0.0390625,0.0390625,0.03515625,0.03515625,0.03515625
cifar10,12,"4,6",0.62109375,0.0390625,0.0390625,0.0390625,0.0390625,0.34765625,0.0390625,0.3515625,0.03515625,0.03515625,0.03515625
cifar10,13,"5,7",0.625,0.0390625,0.0390625,0.0390625,0.0390625,0.0390625,0.34765625,0.03515625,0.3515625,0.03515625,0.03515625
cifar10,14,"8,0",0.625,0.3515625,0.0390625,0.0390625,0.0390625,0.0390625,0.0390625,0.03515625,0.03515625,0.34765625,0.03515625
cifar10,15,"9,1",0.625,0.0390625,0.3515625,0.0390625,0.0390625,0.0390625,0.0390625,0.03515625,0.03515625,0.03515625,0.34765625
cifar10,16,"2,4",0.625,0.0390625,0.0390625,0.34765625,0.0390625,0.3515625,0.0390625,0.0390625,0.03515625,0.03515625,0.03515625
cifar10,17,"3,5",0.62109375,0.0390625,0.0390625,0.0390625,0.34765625,0.0390625,0.3515625,0.0390625,0.03515625,0.03515625,0.03515625
cifar10,18,"6,8",0.625,0.0390625,0.0390625,0.0390625,0.0390625,0.0390625,0.03515625,0.34765625,0.03515625,0.3515625,0.03515625
cifar10,19,"7,9",0.62890625,0.0390625,0.0390625,0.0390625,0.0390625,0.0390625,0.03515625,0.03515625,0.34765625,0.03515625,0.3515625
