dataset,method,seed,batch,test_accuracy,generation_loss,pseudo_precision,pseudo_coverage,initial_pseudo_precision,cluster_precision,semantic_precision,classifier_cluster_agreement,semantic_shift,distribution_tv,parameter_change,replay_loss,worst_loss,sharpness_gap,flat_width,projected_gradient_fraction,update_norm,subspace_rank,accepted_count,batch_seconds
mnist,sdsl_full,4,-1,0.6113,1.7732217654585838,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1,0,0.0
mnist,sdsl_full,4,0,0.7079,1.058731034398079,0.74609375,1.0,0.796875,0.62890625,0.640625,0.7890625,0.07670734822750092,0.0,0.014334865818255806,0.9370661914348603,1.698168969154358,0.7611027777194976,0.09063199870288371,0.7785612354970899,0.0022576683782972395,2,256,4.6866140419999995
mnist,sdsl_full,4,1,0.6941,0.9220457762479782,0.73828125,1.0,0.765625,0.6328125,0.6484375,0.78515625,0.10143419355154037,0.0,0.013747268696287477,0.8838434815406799,2.1980047434568406,1.3141612619161607,0.12017225436866283,0.7631261709612868,0.0024685649666935207,3,256,4.619896333000002
mnist,sdsl_full,4,2,0.6907,0.8845898091793061,0.5,1.0,0.53515625,0.3984375,0.44140625,0.49609375,0.09066231548786163,0.62109375,0.012412943829077724,0.9166202664375305,2.742956691980362,1.8263364255428314,0.16590374428778887,0.6939050927449183,0.0025000000605359674,4,256,4.640665959
mnist,sdsl_full,4,3,0.7112,0.9223068326711654,0.453125,1.0,0.48046875,0.4140625,0.43359375,0.6328125,0.0970565527677536,0.0,0.01260989263920586,0.8539002358913421,3.7247097373008726,2.8708095014095307,0.1637446366250515,0.7287316374202879,0.002500000037252903,5,256,4.658610166999999
mnist,sdsl_full,4,4,0.7233,0.8555198699235916,0.7734375,1.0,0.7890625,0.51953125,0.5390625,0.578125,0.08997993171215057,0.62109375,0.012743675480691285,0.8013795197010041,3.122073400020599,2.3206938803195953,0.15421937610954045,0.7424358899182681,0.0024636893707793207,6,256,4.682945540999999
mnist,sdsl_full,4,5,0.7245,0.7951264142990112,0.81640625,1.0,0.83984375,0.53125,0.515625,0.60546875,0.06370387971401215,0.0,0.01291707373669766,0.7511967152357102,4.180493783950806,3.4292970687150954,0.1931644957512617,0.7601464324504825,0.0025000000605359674,7,256,4.763835249999996
mnist,sdsl_full,4,6,0.7247,0.7785558044910431,0.69921875,1.0,0.70703125,0.4375,0.46484375,0.609375,0.09106196463108063,0.625,0.011024212563766896,0.7348604470491409,4.659060263633728,3.9241998165845873,0.21693784184753895,0.7926050141182528,0.0025000000721774997,8,256,4.778802124999999
mnist,sdsl_full,4,7,0.7668,0.7459273278713227,0.76953125,1.0,0.8125,0.52734375,0.546875,0.6328125,0.09856177866458893,0.0,0.010890519947856035,0.699431785941124,4.775552928447723,4.076121142506599,0.2416211761534214,0.805774959792776,0.002500000048894435,8,256,4.819766999999999
mnist,sdsl_full,4,8,0.7773,0.6928766191005706,0.7109375,1.0,0.71875,0.54296875,0.56640625,0.73828125,0.07967735826969147,0.62890625,0.011209044995173674,0.667330852150917,4.296517705917358,3.6291868537664413,0.2210039459168911,0.6773807521401287,0.0025000000838190316,8,256,4.878823959000002
mnist,sdsl_full,4,9,0.7787,0.6680238530039787,0.77734375,1.0,0.80859375,0.60546875,0.62109375,0.6875,0.09683666378259659,0.0,0.011245067864374491,0.6250417262315751,4.017959696054459,3.3929179698228835,0.19942947719246149,0.7719948379094159,0.002500000048894435,8,256,4.885249041999998
mnist,sdsl_full,4,10,0.8045,0.6379292383790016,0.75390625,1.0,0.80078125,0.55859375,0.5625,0.6953125,0.08693574368953705,0.62890625,0.009867321867857888,0.6077711045742035,4.369966697692871,3.7621955931186677,0.2251419357955456,0.7262456434153485,0.0025000001187436283,8,256,4.945683250000002
mnist,sdsl_full,4,11,0.8,0.600385257601738,0.7734375,1.0,0.80859375,0.625,0.6484375,0.72265625,0.08155162632465363,0.62109375,0.01046749370228571,0.5792838528752327,5.714195990562439,5.1349121376872064,0.23002235889434813,0.8181017692446337,0.0025000000605359674,8,256,4.944766915999999
mnist,sdsl_full,4,12,0.8039,0.6060791224241256,0.84765625,1.0,0.84375,0.6640625,0.6484375,0.75390625,0.0687214732170105,0.62109375,0.009958502118526577,0.5526452228426934,5.366094815731048,4.813449592888356,0.24355353638529778,0.8131391352411118,0.002500000037252903,8,256,4.910197832999998
mnist,sdsl_full,4,13,0.8361,0.554400683939457,0.78515625,1.0,0.828125,0.6015625,0.59765625,0.68359375,0.08218415081501007,0.625,0.010258192411303275,0.5340588882565498,4.73511980175972,4.20106091350317,0.22398160435259343,0.74816300439822,0.0025000000838190316,8,256,4.956837875000005
mnist,sdsl_full,4,14,0.8093,0.5379262343049049,0.83984375,1.0,0.84765625,0.68359375,0.671875,0.7421875,0.12438559532165527,0.625,0.010026610157672129,0.4845688685774803,5.34515865445137,4.86058978587389,0.21329491175711154,0.8298343173563616,0.002500000095460564,8,256,4.946655540999998
mnist,sdsl_full,4,15,0.8442,0.49701317250728605,0.85546875,1.0,0.86328125,0.73828125,0.7421875,0.8046875,0.0972183346748352,0.625,0.009311949745890393,0.46084053069353104,5.942968428134918,5.482127897441387,0.2460612490773201,0.8077725352584693,0.002500000095460564,8,256,4.907792125
mnist,sdsl_full,4,16,0.8504,0.48650875836610796,0.75,1.0,0.7578125,0.65234375,0.66796875,0.84375,0.09458400309085846,0.625,0.008946267368591537,0.463472318649292,4.8770956814289095,4.413623362779617,0.21123579405248166,0.7894344069685938,0.0025000000605359674,8,256,4.959428500000001
mnist,sdsl_full,4,17,0.8453,0.4771525919437408,0.75390625,1.0,0.765625,0.65234375,0.6328125,0.81640625,0.09436464309692383,0.62109375,0.009765669366463581,0.48914397656917574,4.867697507143021,4.3785535305738446,0.23932971954345703,0.696146620996419,0.0025000000605359674,8,256,4.891561957999997
