dataset,method,seed,batch,test_accuracy,generation_loss,pseudo_precision,pseudo_coverage,initial_pseudo_precision,cluster_precision,semantic_precision,classifier_cluster_agreement,semantic_shift,distribution_tv,parameter_change,replay_loss,worst_loss,sharpness_gap,flat_width,projected_gradient_fraction,update_norm,subspace_rank,accepted_count,batch_seconds
svhn,sdsl_full,1,-1,0.06572679778733866,2.2989343106746674,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1,0,0.0
svhn,sdsl_full,1,0,0.06979870928088507,2.280658408999443,0.171875,1.0,0.20703125,0.15625,0.15625,0.59765625,0.13469961285591125,0.0,0.013958282685551089,2.2373547673225405,2.23754198551178,0.00018721818923950195,0.003004162306024227,0.1646850693665925,0.00024016457391553558,2,256,12.932409292
svhn,sdsl_full,1,1,0.06591886908420405,2.2081363916397097,0.19140625,1.0,0.22265625,0.1640625,0.16796875,0.640625,0.057171665132045746,0.0,0.03153170069498036,2.1715816617012025,2.174619698524475,0.0030380368232727053,0.008490415732376277,0.3863721184600274,0.00025579619250493124,3,256,12.784002375
svhn,sdsl_full,1,2,0.06664874001229257,2.1688702583312987,0.02734375,1.0,0.02734375,0.02734375,0.02734375,0.67578125,0.10836195945739746,0.62109375,0.019646655284971427,2.1463106155395506,2.146900105476379,0.0005894899368286133,0.007254076981917023,0.3268375667940525,0.0002621371648274362,4,256,12.74902375
svhn,sdsl_full,1,3,0.06611094038106945,2.145003652572632,0.0234375,1.0,0.01953125,0.03125,0.0234375,0.70703125,0.14804212749004364,0.0,0.01662770289992444,2.1360357224941255,2.138844406604767,0.0028086841106414796,0.011376975488383323,0.44641425002999585,0.0002949609261122532,5,256,12.763648209000003
svhn,sdsl_full,1,4,0.06557314074984634,2.1410062670707704,0.046875,1.0,0.05078125,0.046875,0.05078125,0.77734375,0.11208748817443848,0.62109375,0.014615047001607734,2.1315859615802766,2.140152382850647,0.008566421270370484,0.010746648104395717,0.4111898266625927,0.0003071985993301496,6,256,12.741395499999996
svhn,sdsl_full,1,5,0.06426705593116165,2.1411840319633484,0.03515625,1.0,0.02734375,0.0859375,0.0625,0.69921875,0.13592682778835297,0.0,0.014168338329768772,2.122979998588562,2.129535746574402,0.006555747985839844,0.013401820533908903,0.4617055368129586,0.00032592851130175404,7,256,12.962165833
svhn,sdsl_full,1,6,0.06538106945298094,2.129818546772003,0.0703125,1.0,0.0546875,0.0859375,0.078125,0.6328125,0.13725332915782928,0.625,0.01427563812084025,2.1307096242904664,2.1407108664512635,0.01000124216079712,0.016245743236504497,0.5411209833443222,0.00032433954911539333,8,256,13.003788458000002
svhn,sdsl_full,1,7,0.0686078672403196,2.131904798746109,0.07421875,1.0,0.0625,0.09375,0.09375,0.55078125,0.1918286830186844,0.0,0.01409353680925653,2.1337881445884705,2.1441529393196106,0.010364794731140136,0.01793397495057434,0.5370899102754836,0.00036516181571641935,8,256,12.957745041999999
svhn,sdsl_full,1,8,0.06972188076213891,2.139445686340332,0.16015625,1.0,0.17578125,0.14453125,0.15625,0.52734375,0.17524142563343048,0.62890625,0.015600051826617228,2.1241984009742736,2.1355312347412108,0.011332833766937256,0.01873358841985464,0.515668573085378,0.00040738223324296994,8,256,12.579587916999998
