task_0_accuracy,task_1_accuracy,task_2_accuracy,task_3_accuracy,task_4_accuracy,batch
0.487,0.104,0.175,0.3645,0.3655,-1
0.4265,0.0375,0.409,0.367,0.475,0
0.4805,0.0225,0.44,0.3235,0.402,1
0.4875,0.012,0.46,0.309,0.3945,2
0.4555,0.008,0.4445,0.307,0.42,3
0.443,0.007,0.39,0.326,0.478,4
0.48,0.015,0.46,0.296,0.4115,5
0.4655,0.0275,0.467,0.2945,0.378,6
0.4015,0.0175,0.503,0.294,0.4695,7
0.4,0.0255,0.507,0.3055,0.4965,8
0.4335,0.031,0.5025,0.3385,0.47,9
0.465,0.0515,0.4605,0.3935,0.4605,10
0.487,0.0525,0.487,0.3545,0.4105,11
0.479,0.0465,0.5155,0.319,0.4255,12
0.436,0.0505,0.4585,0.3785,0.5135,13
0.467,0.051,0.403,0.436,0.5035,14
0.449,0.0655,0.4075,0.4555,0.4965,15
0.418,0.0695,0.443,0.445,0.5385,16
0.406,0.055,0.409,0.4785,0.538,17
0.4805,0.049,0.476,0.414,0.48,18
0.471,0.084,0.42,0.469,0.5005,19
