batch,method,seed,test_accuracy,pseudo_precision,pseudo_coverage,agreement,distribution_tv,feature_centroid_drift,parameter_change,training_loss,buffer_size,buffer_replaced
-1,naive,0,0.928,,,,0.0,0.0,0.0,,0,0
0,naive,0,0.9082,1.0,0.85546875,,0.0,0.19473558366298677,0.025156227215365663,0.022207152098417282,0,0
1,naive,0,0.8758,0.9907833933830261,0.84765625,,0.0,0.3005977228283882,0.01893700390140471,0.022969118086621165,0,0
2,naive,0,0.8683,0.9638554453849792,0.6484375,,0.62109375,0.34641084671020506,0.01312729432338565,0.04331182812650999,0,0
3,naive,0,0.8785,0.9788359999656677,0.73828125,,0.0,0.2987353906035423,0.014873451798157244,0.03663563231627146,0,0
4,naive,0,0.874,0.9526066184043884,0.82421875,,0.62109375,0.33715655505657194,0.02047844280590742,0.03751909709535539,0,0
5,naive,0,0.8459,0.9758453965187073,0.80859375,,0.0,0.3560378760099411,0.019882422815746145,0.024591702967882156,0,0
6,naive,0,0.8499,0.9415204524993896,0.66796875,,0.625,0.35469758212566377,0.015999365413314856,0.042697599778572716,0,0
7,naive,0,0.8506,0.9330143332481384,0.81640625,,0.0,0.33025279343128205,0.021206403555568965,0.030479339184239507,0,0
8,naive,0,0.8483,0.732758641242981,0.453125,,0.62890625,0.33466473817825315,0.010698950733865143,0.058741696178913116,0,0
9,naive,0,0.8435,0.744966447353363,0.58203125,,0.0,0.3486346870660782,0.019837700608085002,0.06952216289937496,0,0
10,naive,0,0.8394,0.9452054500579834,0.85546875,,0.62890625,0.4136289834976196,0.019895952002787626,0.02413314685691148,0,0
11,naive,0,0.8312,0.9694322943687439,0.89453125,,0.62109375,0.4319918781518936,0.01683048190367006,0.02634628489613533,0,0
12,naive,0,0.8118,0.9557521939277649,0.8828125,,0.62109375,0.4524808883666992,0.01645472887713541,0.027622670400887728,0,0
13,naive,0,0.8007,0.8909952640533447,0.82421875,,0.625,0.44969773590564727,0.02013314113288915,0.039873197209089994,0,0
14,naive,0,0.7967,0.8653846383094788,0.8125,,0.625,0.46383527517318723,0.020266561011854083,0.06507764477282763,0,0
15,naive,0,0.7874,0.6682927012443542,0.80078125,,0.625,0.47187912166118623,0.02429673147576555,0.0353811657987535,0,0
16,naive,0,0.7681,0.8954545259475708,0.859375,,0.625,0.4826548516750336,0.021715274204398123,0.04824488423764706,0,0
17,naive,0,0.7806,0.8817734122276306,0.79296875,,0.62109375,0.4449037492275238,0.021522238395058523,0.023529659491032362,0,0
18,naive,0,0.7945,0.8653846383094788,0.8125,,0.625,0.4411435633897781,0.01927123560375663,0.02114312956109643,0,0
19,naive,0,0.7926,0.634361207485199,0.88671875,,0.62890625,0.4212873637676239,0.01804291235309588,0.03740369575098157,0,0
