batch,class_0_accuracy,class_1_accuracy,class_2_accuracy,class_3_accuracy,class_4_accuracy,class_5_accuracy,class_6_accuracy,class_7_accuracy,class_8_accuracy,class_9_accuracy
-1,0.9897959183673469,0.9770925110132158,0.8517441860465116,0.8891089108910891,0.9256619144602851,0.9630044843049327,0.9363256784968684,0.9163424124513618,0.9004106776180698,0.9425173439048563
0,0.9897959183673469,0.9911894273127754,0.8624031007751938,0.8643564356435643,0.929735234215886,0.8834080717488789,0.9467640918580376,0.872568093385214,0.7227926078028748,0.9514370664023786
1,0.9877551020408163,0.9955947136563876,0.8284883720930233,0.808910891089109,0.9144602851323829,0.7612107623318386,0.9269311064718163,0.8385214007782101,0.44969199178644764,0.9375619425173439
2,0.986734693877551,0.9964757709251101,0.8594961240310077,0.8247524752475247,0.8920570264765784,0.7219730941704036,0.930062630480167,0.7957198443579766,0.2946611909650924,0.9226957383548068
3,0.9857142857142858,0.9964757709251101,0.9137596899224806,0.8950495049504951,0.8737270875763747,0.7096412556053812,0.9352818371607515,0.77431906614786,0.27002053388090347,0.9147670961347869
4,0.986734693877551,0.9947136563876652,0.937015503875969,0.9188118811881189,0.8991853360488798,0.773542600896861,0.9436325678496869,0.7684824902723736,0.29774127310061604,0.9048562933597621
5,0.9857142857142858,0.9947136563876652,0.936046511627907,0.9376237623762376,0.9144602851323829,0.8486547085201793,0.9467640918580376,0.7782101167315175,0.2936344969199179,0.8860257680872151
6,0.9795918367346939,0.9911894273127754,0.9244186046511628,0.9643564356435643,0.9185336048879837,0.8665919282511211,0.9624217118997912,0.7704280155642024,0.31211498973305957,0.9038652130822596
7,0.9357142857142857,0.9850220264317181,0.8934108527131783,0.9712871287128713,0.8818737270875764,0.8834080717488789,0.9895615866388309,0.7315175097276264,0.3049281314168378,0.9385530227948464
8,0.9112244897959184,0.973568281938326,0.8042635658914729,0.9831683168316832,0.8920570264765784,0.8654708520179372,0.988517745302714,0.8647859922178989,0.2792607802874743,0.9276511397423192
9,0.9040816326530612,0.9612334801762115,0.752906976744186,0.9861386138613861,0.8513238289205702,0.8374439461883408,0.9926931106471816,0.892023346303502,0.27104722792607805,0.9385530227948464
10,0.9653061224489796,0.9559471365638766,0.877906976744186,0.9623762376237623,0.8309572301425662,0.8576233183856502,0.9832985386221295,0.9241245136186771,0.30903490759753593,0.9474727452923687
11,0.9897959183673469,0.9744493392070485,0.9001937984496124,0.9227722772277228,0.8340122199592668,0.8430493273542601,0.9749478079331941,0.933852140077821,0.324435318275154,0.933597621407334
12,0.9908163265306122,0.986784140969163,0.8788759689922481,0.9237623762376238,0.890020366598778,0.8217488789237668,0.9728601252609603,0.9289883268482491,0.3459958932238193,0.9375619425173439
13,0.9908163265306122,0.9885462555066079,0.8507751937984496,0.9277227722772278,0.9439918533604889,0.8800448430493274,0.9498956158663883,0.9406614785992218,0.40451745379876797,0.9177403369672944
14,0.9897959183673469,0.9885462555066079,0.8420542635658915,0.9267326732673268,0.9541751527494908,0.9304932735426009,0.9331941544885177,0.9455252918287937,0.5985626283367557,0.9068384539147671
15,0.9887755102040816,0.9894273127753304,0.8381782945736435,0.9267326732673268,0.955193482688391,0.9596412556053812,0.9227557411273486,0.9309338521400778,0.7063655030800822,0.9236868186323092
16,0.9897959183673469,0.9903083700440528,0.8856589147286822,0.9267326732673268,0.960285132382892,0.9596412556053812,0.9029227557411273,0.9202334630350194,0.7166324435318275,0.9147670961347869
17,0.9897959183673469,0.9903083700440528,0.9176356589147286,0.9158415841584159,0.9694501018329938,0.9641255605381166,0.8674321503131524,0.9231517509727627,0.6919917864476386,0.8939544103072349
18,0.9908163265306122,0.9885462555066079,0.935077519379845,0.9178217821782179,0.9694501018329938,0.9652466367713004,0.9050104384133612,0.919260700389105,0.662217659137577,0.8959365708622399
19,0.9887755102040816,0.9859030837004406,0.9418604651162791,0.9257425742574258,0.9511201629327902,0.9607623318385651,0.9384133611691023,0.9124513618677043,0.6190965092402464,0.9187314172447968
