batch,method,seed,test_accuracy,pseudo_precision,pseudo_coverage,agreement,distribution_tv,feature_centroid_drift,parameter_change,training_loss,buffer_size,buffer_replaced
-1,centroid_replay_ewc,0,0.9291,,,,0.0,0.0,0.0,,0,0
0,centroid_replay_ewc,0,0.9291,,0.0,0.98046875,0.0,0.10670439656823874,0.0,,0,0
1,centroid_replay_ewc,0,0.9291,,0.0,0.953125,0.0,0.10529671162366867,0.0,,0,0
2,centroid_replay_ewc,0,0.9291,,0.0,0.9375,0.62109375,0.14005012288689614,0.0,,0,0
3,centroid_replay_ewc,0,0.9291,,0.0,0.9453125,0.0,0.12229987382888793,0.0,,0,0
4,centroid_replay_ewc,0,0.9291,,0.0,0.95703125,0.62109375,0.1158029105514288,0.0,,0,0
5,centroid_replay_ewc,0,0.9291,,0.0,0.95703125,0.0,0.14002039171755315,0.0,,0,0
6,centroid_replay_ewc,0,0.9291,,0.0,0.95703125,0.625,0.11839584782719612,0.0,,0,0
7,centroid_replay_ewc,0,0.9291,,0.0,0.9765625,0.0,0.13538586311042308,0.0,,0,0
8,centroid_replay_ewc,0,0.9291,,0.0,0.953125,0.62890625,0.13683581724762917,0.0,,0,0
9,centroid_replay_ewc,0,0.9291,,0.0,0.94921875,0.0,0.10594155713915825,0.0,,0,0
10,centroid_replay_ewc,0,0.9291,,0.0,0.96484375,0.62890625,0.11971774026751518,0.0,,0,0
11,centroid_replay_ewc,0,0.9291,,0.0,0.953125,0.62109375,0.11170773915946483,0.0,,0,0
12,centroid_replay_ewc,0,0.9291,,0.0,0.98046875,0.62109375,0.08962165489792824,0.0,,0,0
13,centroid_replay_ewc,0,0.9291,,0.0,0.96875,0.625,0.11067188121378421,0.0,,0,0
14,centroid_replay_ewc,0,0.9291,,0.0,0.94921875,0.625,0.14989972561597825,0.0,,0,0
15,centroid_replay_ewc,0,0.9291,,0.0,0.9453125,0.625,0.11522199623286725,0.0,,0,0
16,centroid_replay_ewc,0,0.9291,,0.0,0.953125,0.625,0.10546016618609429,0.0,,0,0
17,centroid_replay_ewc,0,0.9291,,0.0,0.96484375,0.62109375,0.10652371048927307,0.0,,0,0
18,centroid_replay_ewc,0,0.9291,,0.0,0.984375,0.625,0.12746552005410194,0.0,,0,0
19,centroid_replay_ewc,0,0.9291,,0.0,0.953125,0.62890625,0.11562988944351674,0.0,,0,0
