batch,method,seed,test_accuracy,pseudo_precision,pseudo_coverage,agreement,distribution_tv,feature_centroid_drift,parameter_change,training_loss,buffer_size,buffer_replaced
-1,centroid,1,0.9355,,,,0.0,0.0,0.0,,0,0
0,centroid,1,0.9355,,0.0,0.9765625,0.0,0.13363828733563424,0.0,,0,0
1,centroid,1,0.9355,,0.0,0.96484375,0.0,0.10589486584067345,0.0,,0,0
2,centroid,1,0.9355,,0.0,0.91796875,0.62109375,0.12005483880639076,0.0,,0,0
3,centroid,1,0.9355,,0.0,0.9296875,0.0,0.12435893192887307,0.0,,0,0
4,centroid,1,0.9355,,0.0,0.9453125,0.62109375,0.12663502879440786,0.0,,0,0
5,centroid,1,0.9355,,0.0,0.96875,0.0,0.10932681411504745,0.0,,0,0
6,centroid,1,0.9355,,0.0,0.97265625,0.625,0.116481320746243,0.0,,0,0
7,centroid,1,0.9355,,0.0,0.96484375,0.0,0.12823640704154968,0.0,,0,0
8,centroid,1,0.9355,,0.0,0.953125,0.62890625,0.11444460228085518,0.0,,0,0
9,centroid,1,0.9355,,0.0,0.9296875,0.0,0.10628931373357772,0.0,,0,0
10,centroid,1,0.9355,,0.0,0.96484375,0.62890625,0.13146271258592607,0.0,,0,0
11,centroid,1,0.9355,,0.0,0.97265625,0.62109375,0.12545309215784073,0.0,,0,0
12,centroid,1,0.9355,,0.0,0.97265625,0.62109375,0.11571084409952163,0.0,,0,0
13,centroid,1,0.9355,,0.0,0.953125,0.625,0.12767211459577082,0.0,,0,0
14,centroid,1,0.9355,,0.0,0.9375,0.625,0.10964817814528942,0.0,,0,0
15,centroid,1,0.9355,,0.0,0.97265625,0.625,0.1200548004359007,0.0,,0,0
16,centroid,1,0.9355,,0.0,0.98046875,0.625,0.09665748253464698,0.0,,0,0
17,centroid,1,0.9355,,0.0,0.94921875,0.62109375,0.12357710003852844,0.0,,0,0
18,centroid,1,0.9355,,0.0,0.953125,0.625,0.1111359629780054,0.0,,0,0
19,centroid,1,0.9355,,0.0,0.9453125,0.62890625,0.10525325872004032,0.0,,0,0
