batch,method,seed,test_accuracy,pseudo_precision,pseudo_coverage,agreement,parameter_change,training_loss,ewc_lambda,threshold
-1,centroid_ewc,0,0.9321,,,,0.0,,10.0,0.85
0,centroid_ewc,0,0.9321,,0.0,0.9765625,0.0,,10.0,0.85
1,centroid_ewc,0,0.9321,,0.0,0.9921875,0.0,,10.0,0.85
2,centroid_ewc,0,0.9321,,0.0,0.9609375,0.0,,10.0,0.85
3,centroid_ewc,0,0.9321,,0.0,0.921875,0.0,,10.0,0.85
4,centroid_ewc,0,0.9321,,0.0,0.9609375,0.0,,10.0,0.85
5,centroid_ewc,0,0.9321,,0.0,0.9453125,0.0,,10.0,0.85
6,centroid_ewc,0,0.9321,,0.0,0.95703125,0.0,,10.0,0.85
7,centroid_ewc,0,0.9321,,0.0,0.95703125,0.0,,10.0,0.85
8,centroid_ewc,0,0.9321,,0.0,0.94140625,0.0,,10.0,0.85
9,centroid_ewc,0,0.9321,,0.0,0.95703125,0.0,,10.0,0.85
10,centroid_ewc,0,0.9321,,0.0,0.98046875,0.0,,10.0,0.85
11,centroid_ewc,0,0.9321,,0.0,0.97265625,0.0,,10.0,0.85
12,centroid_ewc,0,0.9321,,0.0,0.953125,0.0,,10.0,0.85
13,centroid_ewc,0,0.9321,,0.0,0.9609375,0.0,,10.0,0.85
14,centroid_ewc,0,0.9321,,0.0,0.95703125,0.0,,10.0,0.85
15,centroid_ewc,0,0.9321,,0.0,0.96875,0.0,,10.0,0.85
16,centroid_ewc,0,0.9321,,0.0,0.953125,0.0,,10.0,0.85
17,centroid_ewc,0,0.9321,,0.0,0.97265625,0.0,,10.0,0.85
18,centroid_ewc,0,0.9321,,0.0,0.95703125,0.0,,10.0,0.85
19,centroid_ewc,0,0.9321,,0.0,0.953125,0.0,,10.0,0.85
-1,centroid_ewc,1,0.9373,,,,0.0,,10.0,0.85
0,centroid_ewc,1,0.9373,,0.0,0.9765625,0.0,,10.0,0.85
1,centroid_ewc,1,0.9373,,0.0,0.98046875,0.0,,10.0,0.85
2,centroid_ewc,1,0.9373,,0.0,0.953125,0.0,,10.0,0.85
3,centroid_ewc,1,0.9373,,0.0,0.921875,0.0,,10.0,0.85
4,centroid_ewc,1,0.9373,,0.0,0.94140625,0.0,,10.0,0.85
5,centroid_ewc,1,0.9373,,0.0,0.953125,0.0,,10.0,0.85
6,centroid_ewc,1,0.9373,,0.0,0.96875,0.0,,10.0,0.85
7,centroid_ewc,1,0.9373,,0.0,0.9609375,0.0,,10.0,0.85
8,centroid_ewc,1,0.9373,,0.0,0.96484375,0.0,,10.0,0.85
9,centroid_ewc,1,0.9373,,0.0,0.91796875,0.0,,10.0,0.85
10,centroid_ewc,1,0.9373,,0.0,0.94921875,0.0,,10.0,0.85
11,centroid_ewc,1,0.9373,,0.0,0.97265625,0.0,,10.0,0.85
12,centroid_ewc,1,0.9373,,0.0,0.95703125,0.0,,10.0,0.85
13,centroid_ewc,1,0.9373,,0.0,0.93359375,0.0,,10.0,0.85
14,centroid_ewc,1,0.9373,,0.0,0.94140625,0.0,,10.0,0.85
15,centroid_ewc,1,0.9373,,0.0,0.96875,0.0,,10.0,0.85
16,centroid_ewc,1,0.9373,,0.0,0.96484375,0.0,,10.0,0.85
17,centroid_ewc,1,0.9373,,0.0,0.96484375,0.0,,10.0,0.85
18,centroid_ewc,1,0.9373,,0.0,0.95703125,0.0,,10.0,0.85
19,centroid_ewc,1,0.9373,,0.0,0.9375,0.0,,10.0,0.85
