batch,method,seed,test_accuracy,pseudo_precision,pseudo_coverage,agreement,distribution_tv,feature_centroid_drift,parameter_change,training_loss,buffer_size,buffer_replaced
-1,centroid_ewc,0,0.9291,,,,0.0,0.0,0.0,,0,0
0,centroid_ewc,0,0.9291,,0.0,0.98046875,0.0,0.1067043965682387,0.0,,0,0
1,centroid_ewc,0,0.9291,,0.0,0.953125,0.0,0.1052967116236686,0.0,,0,0
2,centroid_ewc,0,0.9291,,0.0,0.9375,0.62109375,0.1400501228868961,0.0,,0,0
3,centroid_ewc,0,0.9291,,0.0,0.9453125,0.0,0.1222998738288879,0.0,,0,0
4,centroid_ewc,0,0.9291,,0.0,0.95703125,0.62109375,0.1158029105514288,0.0,,0,0
5,centroid_ewc,0,0.9291,,0.0,0.95703125,0.0,0.1400203917175531,0.0,,0,0
6,centroid_ewc,0,0.9291,,0.0,0.95703125,0.625,0.1183958478271961,0.0,,0,0
7,centroid_ewc,0,0.9291,,0.0,0.9765625,0.0,0.135385863110423,0.0,,0,0
8,centroid_ewc,0,0.9291,,0.0,0.953125,0.62890625,0.1368358172476291,0.0,,0,0
9,centroid_ewc,0,0.9291,,0.0,0.94921875,0.0,0.1059415571391582,0.0,,0,0
10,centroid_ewc,0,0.9291,,0.0,0.96484375,0.62890625,0.1197177402675151,0.0,,0,0
11,centroid_ewc,0,0.9291,,0.0,0.953125,0.62109375,0.1117077391594648,0.0,,0,0
12,centroid_ewc,0,0.9291,,0.0,0.98046875,0.62109375,0.0896216548979282,0.0,,0,0
13,centroid_ewc,0,0.9291,,0.0,0.96875,0.625,0.1106718812137842,0.0,,0,0
14,centroid_ewc,0,0.9291,,0.0,0.94921875,0.625,0.1498997256159782,0.0,,0,0
15,centroid_ewc,0,0.9291,,0.0,0.9453125,0.625,0.1152219962328672,0.0,,0,0
16,centroid_ewc,0,0.9291,,0.0,0.953125,0.625,0.1054601661860942,0.0,,0,0
17,centroid_ewc,0,0.9291,,0.0,0.96484375,0.62109375,0.106523710489273,0.0,,0,0
18,centroid_ewc,0,0.9291,,0.0,0.984375,0.625,0.1274655200541019,0.0,,0,0
19,centroid_ewc,0,0.9291,,0.0,0.953125,0.62890625,0.1156298894435167,0.0,,0,0
-1,centroid_ewc,1,0.9355,,,,0.0,0.0,0.0,,0,0
0,centroid_ewc,1,0.9355,,0.0,0.9765625,0.0,0.1336382873356342,0.0,,0,0
1,centroid_ewc,1,0.9355,,0.0,0.96484375,0.0,0.1058948658406734,0.0,,0,0
2,centroid_ewc,1,0.9355,,0.0,0.91796875,0.62109375,0.1200548388063907,0.0,,0,0
3,centroid_ewc,1,0.9355,,0.0,0.9296875,0.0,0.124358931928873,0.0,,0,0
4,centroid_ewc,1,0.9355,,0.0,0.9453125,0.62109375,0.1266350287944078,0.0,,0,0
5,centroid_ewc,1,0.9355,,0.0,0.96875,0.0,0.1093268141150474,0.0,,0,0
6,centroid_ewc,1,0.9355,,0.0,0.97265625,0.625,0.116481320746243,0.0,,0,0
7,centroid_ewc,1,0.9355,,0.0,0.96484375,0.0,0.1282364070415496,0.0,,0,0
8,centroid_ewc,1,0.9355,,0.0,0.953125,0.62890625,0.1144446022808551,0.0,,0,0
9,centroid_ewc,1,0.9355,,0.0,0.9296875,0.0,0.1062893137335777,0.0,,0,0
10,centroid_ewc,1,0.9355,,0.0,0.96484375,0.62890625,0.131462712585926,0.0,,0,0
11,centroid_ewc,1,0.9355,,0.0,0.97265625,0.62109375,0.1254530921578407,0.0,,0,0
12,centroid_ewc,1,0.9355,,0.0,0.97265625,0.62109375,0.1157108440995216,0.0,,0,0
13,centroid_ewc,1,0.9355,,0.0,0.953125,0.625,0.1276721145957708,0.0,,0,0
14,centroid_ewc,1,0.9355,,0.0,0.9375,0.625,0.1096481781452894,0.0,,0,0
15,centroid_ewc,1,0.9355,,0.0,0.97265625,0.625,0.1200548004359007,0.0,,0,0
16,centroid_ewc,1,0.9355,,0.0,0.98046875,0.625,0.0966574825346469,0.0,,0,0
17,centroid_ewc,1,0.9355,,0.0,0.94921875,0.62109375,0.1235771000385284,0.0,,0,0
18,centroid_ewc,1,0.9355,,0.0,0.953125,0.625,0.1111359629780054,0.0,,0,0
19,centroid_ewc,1,0.9355,,0.0,0.9453125,0.62890625,0.1052532587200403,0.0,,0,0
